lower,upper,quantity,interval,phi_rib
0.107896,0.1329921,phi_mem_ppc,80%,0.0668918918918919
0.110391,0.13029575,phi_mem_ppc,70%,0.0668918918918919
0.11075784,0.12984816,phi_mem_ppc,68%,0.0668918918918919
0.112186,0.1283252,phi_mem_ppc,60%,0.0668918918918919
0.113783,0.12670725,phi_mem_ppc,50%,0.0668918918918919
0.1153041,0.1253026,phi_mem_ppc,40%,0.0668918918918919
0.11658265000000001,0.12397770000000001,phi_mem_ppc,30%,0.0668918918918919
0.117857,0.12270879999999999,phi_mem_ppc,20%,0.0668918918918919
0.1190831,0.1214649,phi_mem_ppc,10%,0.0668918918918919
0.120274,0.120274,phi_mem_ppc,median,0.0668918918918919
0.09978962,0.139986025,phi_mem_ppc,95%,0.07297297297297298
0.1035429,0.1361991,phi_mem_ppc,90%,0.07297297297297298
0.1076168,0.1322231,phi_mem_ppc,80%,0.07297297297297298
0.11012285,0.1299273,phi_mem_ppc,70%,0.07297297297297298
0.11052384,0.12947716,phi_mem_ppc,68%,0.07297297297297298
0.1121228,0.12805840000000002,phi_mem_ppc,60%,0.07297297297297298
0.11370675,0.1265155,phi_mem_ppc,50%,0.07297297297297298
0.1151977,0.1250443,phi_mem_ppc,40%,0.07297297297297298
0.11646865,0.12367135,phi_mem_ppc,30%,0.07297297297297298
0.1176666,0.12244039999999999,phi_mem_ppc,20%,0.07297297297297298
0.11883455,0.12117535,phi_mem_ppc,10%,0.07297297297297298
0.1199955,0.1199955,phi_mem_ppc,median,0.07297297297297298
0.100392975,0.14003815,phi_mem_ppc,95%,0.07905405405405405
0.103846,0.1361223,phi_mem_ppc,90%,0.07905405405405405
0.1076261,0.13211440000000002,phi_mem_ppc,80%,0.07905405405405405
0.11014270000000001,0.12969715,phi_mem_ppc,70%,0.07905405405405405
0.11052884,0.129327,phi_mem_ppc,68%,0.07905405405405405
0.1118748,0.12787020000000002,phi_mem_ppc,60%,0.07905405405405405
0.11353025,0.126213,phi_mem_ppc,50%,0.07905405405405405
0.1150167,0.1247388,phi_mem_ppc,40%,0.07905405405405405
0.11640865,0.123431,phi_mem_ppc,30%,0.07905405405405405
0.11768,0.12226139999999999,phi_mem_ppc,20%,0.07905405405405405
0.11885475000000001,0.12115625000000001,phi_mem_ppc,10%,0.07905405405405405
0.119984,0.119984,phi_mem_ppc,median,0.07905405405405405
0.10056095,0.13923002499999998,phi_mem_ppc,95%,0.08513513513513514
0.10383479999999999,0.13591065,phi_mem_ppc,90%,0.08513513513513514
0.1074048,0.1319851,phi_mem_ppc,80%,0.08513513513513514
0.10999555,0.12953605,phi_mem_ppc,70%,0.08513513513513514
0.11039984,0.12911116,phi_mem_ppc,68%,0.08513513513513514
0.1119884,0.1275752,phi_mem_ppc,60%,0.08513513513513514
0.1136005,0.12595575,phi_mem_ppc,50%,0.08513513513513514
