lower,upper,quantity,interval,growth_rate_hr,condition,replicate,source
6.497204,7.561786000000001,sav_ppc,60%,0.8840892213949152,glucose,2.0,This Study
6.608335,7.454445,sav_ppc,50%,0.8840892213949152,glucose,2.0,This Study
6.700027,7.359699,sav_ppc,40%,0.8840892213949152,glucose,2.0,This Study
6.788908999999999,7.273917,sav_ppc,30%,0.8840892213949152,glucose,2.0,This Study
6.872048,7.188268,sav_ppc,20%,0.8840892213949152,glucose,2.0,This Study
6.950070999999999,7.1066270000000005,sav_ppc,10%,0.8840892213949152,glucose,2.0,This Study
7.03014,7.03014,sav_ppc,median,0.8840892213949152,glucose,2.0,This Study
4.8051175,7.4129,sav_ppc,95%,1.3028032663667155,glucoseCAA,2.0,This Study
5.02457,7.168368999999999,sav_ppc,90%,1.3028032663667155,glucoseCAA,2.0,This Study
5.287901,6.917361,sav_ppc,80%,1.3028032663667155,glucoseCAA,2.0,This Study
5.444694,6.7452105,sav_ppc,70%,1.3028032663667155,glucoseCAA,2.0,This Study
5.4717192,6.7167244,sav_ppc,68%,1.3028032663667155,glucoseCAA,2.0,This Study
5.566794000000001,6.61783,sav_ppc,60%,1.3028032663667155,glucoseCAA,2.0,This Study
5.6694125,6.51444,sav_ppc,50%,1.3028032663667155,glucoseCAA,2.0,This Study
5.761953,6.415253999999999,sav_ppc,40%,1.3028032663667155,glucoseCAA,2.0,This Study
5.84379,6.327401,sav_ppc,30%,1.3028032663667155,glucoseCAA,2.0,This Study
5.931084,6.24514,sav_ppc,20%,1.3028032663667155,glucoseCAA,2.0,This Study
6.0073775,6.166574000000001,sav_ppc,10%,1.3028032663667155,glucoseCAA,2.0,This Study
6.08774,6.08774,sav_ppc,median,1.3028032663667155,glucoseCAA,2.0,This Study
4.777872749999999,7.39384425,sav_ppc,95%,1.4771279192381863,glucoseCAA,1.0,This Study
5.0203714999999995,7.146570499999999,sav_ppc,90%,1.4771279192381863,glucoseCAA,1.0,This Study
5.284471,6.895049,sav_ppc,80%,1.4771279192381863,glucoseCAA,1.0,This Study
