cyto_intensity,peri_intensity,proteome_intensity,gene,localization
6.96619412068341E-06,0.0026566242303810500,8.27670222208838E-05,rcnB,cytoplasm
1.06984304969994E-05,0.0026414759810274800,0.0002774070233154530,yahO,periplasm
0.003312177782856750,0.002639345758462140,0.0036315521584567500,aspC,cytoplasm
2.61851083346148E-05,0.0025998182953051900,0.00021279471987633300,yggN,periplasm
0.0014060193474886100,0.002598871529720590,0.00033569194487352900,uspA,cytoplasm
0.0013608426241211900,0.0025243137399335200,0.0024509275956784000,ridA,cytoplasm
0.0020981898432002700,0.002498751069149390,0.0021288395218491200,pck,cytoplasm
0.0143780887709182,0.0024627739769346700,0.015781950576372600,rplL,cytoplasm
0.0027737375696155900,0.0024615905199539300,0.0027809248968589900,yfgD,cytoplasm
0.005209276606734920,0.002447862418977260,0.0048883081045089300,fusA,cytoplasm
