strain,carbon_source,date,inducer_conc,replicate,entry,name,synonyms,intensity,norm_intensity,common_intensity,mass_frac,rel_mass_frac,localization
wildtype,LB,2024-05-24,0,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,3.25e-05,0.557721580485593,112887100.0,3.251076614349042e-05,0.0002075445401286,phi_mem
wildtype,acetate,2024-05-25,0,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,6.75e-05,1.10114411692663,112887100.0,6.74610270905208e-05,0.0004097679870375,phi_mem
meshI,glucose,2024-05-23,0,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,4.87e-05,0.864635895765531,112887100.0,4.86509637894425e-05,0.0003217563487666,phi_mem
meshI,glucose,2024-05-23,100,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,4.57e-05,0.802022994726424,112887100.0,4.573390377275794e-05,0.0002984562538681,phi_mem
relA,glucose,2024-05-23,0,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,3.63e-05,0.618735389962299,112887100.0,3.628981168280897e-05,0.0002302495662069,phi_mem
relA,glucose,2024-05-23,2,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,4.83e-05,0.782461847008041,112887100.0,4.830116483005856e-05,0.0002911769777029,phi_mem
relA,glucose,2024-05-25,4,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,6.1e-05,0.949890976268921,112887100.0,6.099063494897688e-05,0.0003534822620105,phi_mem
lacZ,glucose,2024-05-25,0,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,5.23e-05,0.882449776187637,112887100.0,5.233648962964921e-05,0.0003283854155797,phi_mem
lacZ,glucose,2024-05-28,1,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,6.09e-05,1.00987587803034,112887100.0,6.0889348686384114e-05,0.0003758044013831,phi_mem
lacZ,glucose,2024-05-29,3,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,6.86e-05,1.1368539747044,112887100.0,6.858882055752553e-05,0.0004230566713378,phi_mem
lacZ,glucose,2024-05-25,5,1,ACRB_ECOLI,acrB,acrE b0462 JW0451,6.92e-05,1.1532038866869,112887100.0,6.921534415774613e-05,0.0004291409526033,phi_mem
wildtype,glucose,2024-05-22,0,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,3.51e-05,0.566362918007007,131680200.0,3.513565659745296e-05,0.0002857145,phi_mem
wildtype,glucose+acetate,2024-05-22,0,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,3.23e-05,0.502653560667855,131680200.0,3.231103195737511e-05,0.0002535748831593,phi_mem
wildtype,glycerol,2024-05-22,0,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,0.0001323694617422,1.89182790450094,131680200.0,0.0001323694617422,0.0009543750952526,phi_mem
wildtype,sorbitol,2024-05-22,0,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,0.0001348400361181,1.88657401815483,131680200.0,0.0001348400361181,0.000951724654232,phi_mem
wildtype,glucoseCAA,2024-05-24,0,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,5.71e-05,0.884746385421051,131680200.0,5.707341954735622e-05,0.0004463301941216,phi_mem
wildtype,LB,2024-05-24,0,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,5.88e-05,0.934753068348618,131680200.0,5.878499882517721e-05,0.0004715571889602,phi_mem
wildtype,acetate,2024-05-25,0,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,6.93e-05,1.00788161908705,131680200.0,6.926709115326797e-05,0.0005084485295576,phi_mem
meshI,glucose,2024-05-23,0,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,5.15e-05,0.820501036264588,131680200.0,5.148798966188643e-05,0.0004139201841652,phi_mem
meshI,glucose,2024-05-23,100,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,6.01e-05,0.948115520213675,131680200.0,6.0124257169583625e-05,0.0004782981780539,phi_mem
relA,glucose,2024-05-23,0,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,5.55e-05,0.837274265361313,131680200.0,5.548358549079718e-05,0.0004223818164726,phi_mem
relA,glucose,2024-05-26,2,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,4.88e-05,0.727659353963363,131680200.0,4.883490043363839e-05,0.0003670841114025,phi_mem
relA,glucose,2024-05-25,4,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,5.61e-05,0.792799720519081,131680200.0,5.6085876380296765e-05,0.0003999456329968,phi_mem
lacZ,glucose,2024-05-25,0,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,6.72e-05,1.02177368006753,131680200.0,6.72466916846263e-05,0.0005154566918698,phi_mem
lacZ,glucose,2024-05-28,1,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,7.43e-05,1.14350717151622,131680200.0,7.426941610570908e-05,0.0005768678869475,phi_mem
lacZ,glucose,2024-05-26,3,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,6.43e-05,0.966877422668755,131680200.0,6.430204640214261e-05,0.0004877630413219,phi_mem
lacZ,glucose,2024-05-25,5,2,ACRB_ECOLI,acrB,acrE b0462 JW0451,7.56e-05,1.12805086061457,131680200.0,7.560908617819246e-05,0.0005690706036144,phi_mem
wildtype,glucose,2024-05-22,0,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,2.94e-05,0.821044505558963,71452000.0,2.9424988029709668e-05,0.0,phi_mem
wildtype,glucose+acetate,2024-05-22,0,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,0.000105214179648,2.85039688283616,71452000.0,0.000105214179648,0.0,phi_mem
