date,strain,carbon_source,inducer_conc,replicate,phiX-lacZ,phiX-relA,phi_mem,phi_peri,phi_rib,width_median,width_var,length,volume,surface_area,surface_to_volume,growth_rate_hr,od_init,growth_rate_hr_std,od_555nm_per_od_600nm,od_260nm_per_od_600nm,ug_protein_per_od_600nm,ug_RNA_per_od_600nm,RNA_to_protein
2024-05-23,relA,glucose,2,1,0.0,0.0007095190588126,0.12282130424581757,0.03637787230423459,0.1671276157359402,0.6642173617561008,0.0009262262250871,2.17527207258393,0.672672978965825,4.515378497316318,6.776163086381294,0.5953632487833753,0.0576829106171182,3.1794924944662896e-14,0.0784045584045584,1.2209094163981382,327.18123555992014,37.84819190834229,0.1156795922100207
2024-05-24,wildtype,LB,0,1,0.0,6.494227780958667e-05,0.1431964451665818,0.018945505269340482,0.496861891531482,0.9191568467813628,0.0068383689668546,3.851755191002302,2.37049318955766,11.138295984571116,4.77289448646648,2.2690638773791805,0.0588812312872197,1.6838138575793521e-09,0.12,2.9288702928870287,603.5364698452794,90.79497907949788,0.1504382644892591
2024-05-24,wildtype,LB,0,2,0.0,0.0001243266007291,0.1181707030313491,0.014097370515381924,0.2441919682354249,0.923620121546266,0.0054478801626428,4.212333327277585,2.6494472570122407,12.25577804247867,4.73596130980739,2.272564591054877,0.044191633304581,7.647735280915211e-09,0.1123617123617123,3.171320234401931,552.7885828448618,98.31092726645986,0.1778454373288865
2024-05-24,wildtype,glucoseCAA,0,1,0.0,0.0001107799410684,0.10851619090259453,0.023992534869489643,0.170696289035225,0.8741181273172054,0.0045811649965319,3.182365868402838,1.7709008421435068,8.769337945395133,5.167673330016131,1.4771279192381863,0.0559831681235615,0.0005814423079056,0.0929292929292929,2.3797360578969773,423.68186780601576,73.7718177948063,0.1741207811814665
2024-05-24,wildtype,glucoseCAA,0,2,0.0,0.0001578565583416,0.10622041323362162,0.02073234895045892,0.1742110009651866,0.8636618213569093,0.003748160819704,3.3411583159116893,1.8284226719216083,9.12514800674283,5.170441426289228,1.3028032663667155,0.0591421258910867,2.4455077797189528e-06,0.0791157649796393,3.129032258064516,331.9064086111739,97.0,0.2922510607911607
2024-05-25,lacZ,glucose,0,1,0.0,0.0001687702636753,0.11832338970815759,0.03028884597005859,0.1471006955058984,0.7416334012411654,0.0021297535902326,2.638796549952952,1.0350685101205483,6.134007364757,6.033178991948892,0.6007581170158606,0.0429560241154542,3.841484994318846e-13,0.0830917874396135,1.0832383124287344,358.3226353971982,33.580387685290766,0.09371550766829768
2024-05-25,lacZ,glucose,0,2,0.0,0.0002490232645476,0.11728919165816072,0.02763720545244027,0.1513594678999994,0.7282856361943143,0.0022432962291966,2.475822625646307,0.9451075056561514,5.672875323747508,6.225032591255538,0.5700897148047354,0.0493373630445225,2.569692187695785e-14,0.0814035087719298,1.0684229784120014,347.105909985685,33.12111233077204,0.09542076748891423
2024-05-25,lacZ,glucose,5,1,0.0,0.0001407106734782,0.11087910376481779,0.028452215341908477,0.14182830823485199,0.7264958614084472,0.002783222184973,2.6848820470836783,1.0497915652591725,6.192830918037822,6.214863548597853,0.3937041292051138,0.0404163254956744,3.3387231176490546e-23,0.0862222222222222,0.9498956158663884,379.1208768530042,29.44676409185804,0.07767117531561149
2024-05-25,lacZ,glucose,5,2,0.0,0.0002109734451448,0.11852424936773237,0.025754187885141715,0.1421615839136694,0.7409000525378202,0.003512934925124,2.653424242411936,1.068961316171639,6.223068776841441,6.091188967049324,0.3981298721496336,0.0362787689512723,1.0257501717006633e-18,0.0884283246977547,1.029668411867365,393.7779628965411,31.919720767888304,0.08106020086318214
2024-05-25,relA,glucose,4,1,0.0,0.0020619261419241,0.13324381060466917,0.040249088380441944,0.1038802523430748,0.6404901325444792,0.0011006754630602,2.1003015168046635,0.606767812487391,4.209461886300064,7.050192966784704,0.4339392796625571,0.0440007921687116,2.359423608624912e-18,0.0883435582822085,0.9026028547439128,393.2147847758319,27.98068849706129,0.07115879051448389
2024-05-25,relA,glucose,4,2,0.0,0.002414074399708,0.1447308228238035,0.038891185236484674,0.1036955918765342,0.644114736341047,0.00090923509774,1.975686582887392,0.5761057761176038,3.9912186894269657,7.069383768132812,0.4050489280159054,0.0428044363356397,3.576002731810147e-20,0.0821256038647343,0.8701298701298701,351.9034250713323,26.97402597402597,0.07665178583743032
2024-05-25,wildtype,acetate,0,1,0.0,0.0001682418264373,0.12440614720846277,0.053674803092519714,0.1053165549296047,0.598027009932458,0.0013890868391727,2.045167088941241,0.5218901328135779,3.840922405269179,7.507487747191416,0.3537727536958663,0.0427011104762788,7.776004834679584e-23,0.0888888888888888,0.7675438596491228,396.83789735239424,23.793859649122805,0.05995863753907991
2024-05-25,wildtype,acetate,0,2,0.0,0.0002173770947628,0.12152291384707062,0.046012346756725414,0.1136686480723135,0.6097572423790127,0.0014211666040699,2.0636399500905576,0.5438705612563395,3.944747026683353,7.360883684014174,0.3851859922434523,0.0538021161748683,6.465572690750967e-18,0.0979374584165003,0.8572440665958201,456.9555317814628,26.574566064470424,0.05815569397063259
2024-05-26,lacZ,glucose,3,2,0.0,0.0002201037516711,0.11620467138239989,0.025539566460619216,0.1609606359802971,0.812762288685984,0.0035241859020307,2.703770291851524,1.27822964417468,6.909649695793514,5.576366663400574,0.4560337688003362,0.0392332395363882,1.9120756429516176e-19,0.0865860679332182,0.8544061302681992,381.5382250731282,26.486590038314176,0.06942054110892186
2024-05-26,relA,glucose,2,2,0.0,0.0014382163631865,0.13547380820547003,0.034661763925561376,0.1191289559542968,0.6229106793080815,0.0014617443633877,2.16174291698594,0.6050781580784031,4.232881643482761,7.233883840340177,0.5748629870680184,0.0466233324725111,3.9442857668639963e-13,0.0826426426426426,1.1614255765199164,355.33857005652544,36.00419287211741,0.10132362739679525
2024-05-28,lacZ,glucose,1,1,0.0,0.0001827269818842,0.11391955112140859,0.02764829064991023,0.1456319281503858,0.7146759147780565,0.004174402685065,2.5372835027323344,0.959907420530901,5.733706899539941,6.425859495384601,0.552508336579699,0.0459688422857747,2.8838021764616556e-20,0.0826038159371492,1.1784140969162995,355.0806099800941,36.530837004405285,0.10288040511830035
2024-05-28,lacZ,glucose,1,2,0.0,0.0002763826478039,0.12167627557195226,0.027396838122942455,0.1522355953377446,0.7016568214386564,0.0046678158596046,2.3960353228613216,0.8833884470672233,5.350453135014995,6.589348144195703,0.5439718582964402,0.0417142307451701,9.89443889994303e-21,0.0822695035460992,1.1099290780141844,352.8594776730569,34.40780141843972,0.09751134260398236
2024-05-29,lacZ,glucose,3,1,0.0,0.0001248734171516,0.11679546225581547,0.027959246795604686,0.145382116024994,0.7816298897238466,0.0042426146621339,2.900603059090056,1.2879688465981898,7.131856685291285,5.756953701408458,0.4582804565480497,0.0446103955988872,2.1066302409106637e-18,0.0852974186307519,0.9319727891156462,372.9765902825085,28.89115646258503,0.07746104505031168
