value,kde,parameter,strain,carbon_source,overexpression,inducer_conc_ng_mL
0.039039396,3.912618125781797e-23,phi_peri,lpp14,acetate,none,0.0
0.039441864,2.4087782651013843e-19,phi_peri,lpp14,acetate,none,0.0
0.039844331999999996,5.431229218338605e-16,phi_peri,lpp14,acetate,none,0.0
0.0402468,4.48509232680637e-13,phi_peri,lpp14,acetate,none,0.0
0.040649267999999995,1.3564899943586642e-10,phi_peri,lpp14,acetate,none,0.0
0.041051736,1.502566936798012e-08,phi_peri,lpp14,acetate,none,0.0
0.041454204,6.095710928923895e-07,phi_peri,lpp14,acetate,none,0.0
0.041856672,9.057541238136545e-06,phi_peri,lpp14,acetate,none,0.0
0.04225914,4.933813284522378e-05,phi_peri,lpp14,acetate,none,0.0
0.042661608,0.00010013214736687411,phi_peri,lpp14,acetate,none,0.0
0.043064076,9.780104937384607e-05,phi_peri,lpp14,acetate,none,0.0
0.043466543999999996,0.00015677167030622084,phi_peri,lpp14,acetate,none,0.0
0.043869012,0.0002919729482323086,phi_peri,lpp14,acetate,none,0.0
0.044271479999999995,0.00030184384714025995,phi_peri,lpp14,acetate,none,0.0
0.044673948,0.0003163116127150227,phi_peri,lpp14,acetate,none,0.0
0.045076416,0.00037124860456341704,phi_peri,lpp14,acetate,none,0.0
0.045478884,0.00035003508537338084,phi_peri,lpp14,acetate,none,0.0
0.045881352,0.0005240429306699487,phi_peri,lpp14,acetate,none,0.0
0.046283819999999996,0.0010176325327772605,phi_peri,lpp14,acetate,none,0.0
0.046686288,0.001566484969562305,phi_peri,lpp14,acetate,none,0.0
0.047088755999999996,0.002203929150432501,phi_peri,lpp14,acetate,none,0.0
0.047491224,0.0030247135337884788,phi_peri,lpp14,acetate,none,0.0
0.047893691999999995,0.004025328686636335,phi_peri,lpp14,acetate,none,0.0
0.04829616,0.005966198121309685,phi_peri,lpp14,acetate,none,0.0
0.048698628,0.009408899325312046,phi_peri,lpp14,acetate,none,0.0
0.049101096,0.0134594100878435,phi_peri,lpp14,acetate,none,0.0
0.049503564,0.016946734459751166,phi_peri,lpp14,acetate,none,0.0
0.049906031999999996,0.020535314573093027,phi_peri,lpp14,acetate,none,0.0
0.0503085,0.027254634160029757,phi_peri,lpp14,acetate,none,0.0
0.050710967999999995,0.03754316346373635,phi_peri,lpp14,acetate,none,0.0
0.051113436,0.04753609222424734,phi_peri,lpp14,acetate,none,0.0
0.051515903999999994,0.056380248379145126,phi_peri,lpp14,acetate,none,0.0
0.051918372,0.06546006131790451,phi_peri,lpp14,acetate,none,0.0
0.05232084,0.07218434233909782,phi_peri,lpp14,acetate,none,0.0
0.052723307999999997,0.07523613193217428,phi_peri,lpp14,acetate,none,0.0
0.053125776,0.0777303737272424,phi_peri,lpp14,acetate,none,0.0
0.053528243999999996,0.07893965986652703,phi_peri,lpp14,acetate,none,0.0
0.053930712,0.07514527721230659,phi_peri,lpp14,acetate,none,0.0
