lower,upper,quantity,interval,source,growth_rate_hr
53.470800000000004,60.9200625,ms_rho_peri,75%,Mori et al. 2021,0.9041050181216675
58.174725,56.028425,ms_rho_peri,25%,Mori et al. 2021,0.9041050181216675
57.1048,57.1048,ms_rho_peri,median,Mori et al. 2021,0.9041050181216675
43.59485,54.6174325,ms_rho_peri,95%,Mori et al. 2021,1.1240224549620734
45.7058625,52.1606375,ms_rho_peri,75%,Mori et al. 2021,1.1240224549620734
49.824075,47.9533875,ms_rho_peri,25%,Mori et al. 2021,1.1240224549620734
48.88125,48.88125,ms_rho_peri,median,Mori et al. 2021,1.1240224549620734
121.66975000000001,179.31810000000002,ms_rho_peri,95%,Peebo et al. 2015,0.21
132.26637499999998,165.31975,ms_rho_peri,75%,Peebo et al. 2015,0.21
152.114,143.093125,ms_rho_peri,25%,Peebo et al. 2015,0.21
147.5625,147.5625,ms_rho_peri,median,Peebo et al. 2015,0.21
109.08670000000001,159.66582499999998,ms_rho_peri,95%,Peebo et al. 2015,0.22
118.499875,147.54125,ms_rho_peri,75%,Peebo et al. 2015,0.22
135.95075,127.99350000000001,ms_rho_peri,25%,Peebo et al. 2015,0.22
131.9075,131.9075,ms_rho_peri,median,Peebo et al. 2015,0.22
113.91175,163.037425,ms_rho_peri,95%,Peebo et al. 2015,0.25
123.05300000000001,151.67175,ms_rho_peri,75%,Peebo et al. 2015,0.25
140.21,132.421875,ms_rho_peri,25%,Peebo et al. 2015,0.25
136.2515,136.2515,ms_rho_peri,median,Peebo et al. 2015,0.25
102.4256,145.64325,ms_rho_peri,95%,Peebo et al. 2015,0.26
110.46125,135.764375,ms_rho_peri,75%,Peebo et al. 2015,0.26
125.673125,118.784125,ms_rho_peri,25%,Peebo et al. 2015,0.26
122.14099999999999,122.14099999999999,ms_rho_peri,median,Peebo et al. 2015,0.26
106.007925,146.7612,ms_rho_peri,95%,Peebo et al. 2015,0.31
