source,growth_rate_hr,quantity,interval,lower,upper
Peebo et al. 2015,0.82,ms_rho_mem_inner,25%,0.99075725,1.03050375
Peebo et al. 2015,0.82,ms_rho_mem_inner,median,1.009975,1.009975
Schmidt et al. 2016,0.66,ms_rho_mem_inner,95%,1.084676,1.4504452500000002
Schmidt et al. 2016,0.66,ms_rho_mem_inner,75%,1.1515437499999999,1.3610825
Schmidt et al. 2016,0.66,ms_rho_mem_inner,25%,1.22178875,1.2784974999999998
Schmidt et al. 2016,0.66,ms_rho_mem_inner,median,1.2495,1.2495
Schmidt et al. 2016,0.3,ms_rho_mem_inner,95%,0.757795725,1.2668365000000001
Schmidt et al. 2016,0.3,ms_rho_mem_inner,75%,0.8324883750000001,1.11456375
Schmidt et al. 2016,0.3,ms_rho_mem_inner,25%,0.918965125,0.99901175
Schmidt et al. 2016,0.3,ms_rho_mem_inner,median,0.9574515,0.9574515
Schmidt et al. 2016,0.12,ms_rho_mem_inner,95%,1.1874855,2.41388075
Schmidt et al. 2016,0.12,ms_rho_mem_inner,75%,1.3344075,1.9982275
Schmidt et al. 2016,0.12,ms_rho_mem_inner,25%,1.52405125,1.7132162499999999
Schmidt et al. 2016,0.12,ms_rho_mem_inner,median,1.61466,1.61466
Schmidt et al. 2016,0.2,ms_rho_mem_inner,95%,1.1693685,2.1640307500000002
Schmidt et al. 2016,0.2,ms_rho_mem_inner,75%,1.30444,1.84768375
Schmidt et al. 2016,0.2,ms_rho_mem_inner,25%,1.4659125000000002,1.61922125
Schmidt et al. 2016,0.2,ms_rho_mem_inner,median,1.5402550000000002,1.5402550000000002
Schmidt et al. 2016,0.35,ms_rho_mem_inner,95%,1.2220659999999999,1.9564650000000001
Schmidt et al. 2016,0.35,ms_rho_mem_inner,75%,1.33515125,1.74416125
Schmidt et al. 2016,0.35,ms_rho_mem_inner,25%,1.4625175,1.5788612499999999
Schmidt et al. 2016,0.35,ms_rho_mem_inner,median,1.517325,1.517325
Schmidt et al. 2016,0.5,ms_rho_mem_inner,95%,1.27108375,1.83859975
Schmidt et al. 2016,0.5,ms_rho_mem_inner,75%,1.36611625,1.68818125
Schmidt et al. 2016,0.5,ms_rho_mem_inner,25%,1.4716375,1.55808
Schmidt et al. 2016,0.5,ms_rho_mem_inner,median,1.515075,1.515075
Schmidt et al. 2016,0.65,ms_rho_mem_inner,95%,1.1074490000000001,1.48481625
Schmidt et al. 2016,0.65,ms_rho_mem_inner,75%,1.1761899999999998,1.393
Schmidt et al. 2016,0.65,ms_rho_mem_inner,25%,1.24863625,1.3077699999999999
Schmidt et al. 2016,0.65,ms_rho_mem_inner,median,1.27765,1.27765
Schmidt et al. 2016,0.42,ms_rho_mem_inner,95%,0.930610575,1.41339725
Schmidt et al. 2016,0.42,ms_rho_mem_inner,75%,1.0083375,1.28172625
Schmidt et al. 2016,0.42,ms_rho_mem_inner,25%,1.0948275,1.17103
Schmidt et al. 2016,0.42,ms_rho_mem_inner,median,1.132815,1.132815
Schmidt et al. 2016,0.26,ms_rho_mem_inner,95%,0.8689781499999999,1.50802725
Schmidt et al. 2016,0.26,ms_rho_mem_inner,75%,0.9615568750000001,1.3150612499999998
Schmidt et al. 2016,0.26,ms_rho_mem_inner,25%,1.06814,1.1692825
Schmidt et al. 2016,0.26,ms_rho_mem_inner,median,1.11618,1.11618
Schmidt et al. 2016,0.46,ms_rho_mem_inner,95%,0.992487375,1.4695435000000001
Schmidt et al. 2016,0.46,ms_rho_mem_inner,75%,1.0720999999999998,1.34159
Schmidt et al. 2016,0.46,ms_rho_mem_inner,25%,1.15922125,1.2331575
Schmidt et al. 2016,0.46,ms_rho_mem_inner,median,1.196615,1.196615
Schmidt et al. 2016,0.58,ms_rho_mem_inner,95%,0.899197675,1.2429975
Schmidt et al. 2016,0.58,ms_rho_mem_inner,75%,0.9581301249999999,1.1557175
Schmidt et al. 2016,0.58,ms_rho_mem_inner,25%,1.02347625,1.07818125
Schmidt et al. 2016,0.58,ms_rho_mem_inner,median,1.050665,1.050665
Schmidt et al. 2016,0.47,ms_rho_mem_inner,95%,0.98337455,1.44625425
Schmidt et al. 2016,0.47,ms_rho_mem_inner,75%,1.06108,1.32343375
Schmidt et al. 2016,0.47,ms_rho_mem_inner,25%,1.14553625,1.2178075
Schmidt et al. 2016,0.47,ms_rho_mem_inner,median,1.18221,1.18221
Schmidt et al. 2016,1.27,ms_rho_mem_inner,95%,1.0923129999999999,1.4176535000000001
Schmidt et al. 2016,1.27,ms_rho_mem_inner,75%,1.15480625,1.34748
Schmidt et al. 2016,1.27,ms_rho_mem_inner,25%,1.21909125,1.27291
Schmidt et al. 2016,1.27,ms_rho_mem_inner,median,1.24567,1.24567
Schmidt et al. 2016,1.9,ms_rho_mem_inner,95%,1.3646897500000001,2.08567425
Schmidt et al. 2016,1.9,ms_rho_mem_inner,75%,1.4896775,1.9083774999999998
Schmidt et al. 2016,1.9,ms_rho_mem_inner,25%,1.6283275,1.74305125
Schmidt et al. 2016,1.9,ms_rho_mem_inner,median,1.6824599999999998,1.6824599999999998
Schmidt et al. 2016,0.47,ms_rho_mem_inner,95%,0.98321955,1.4460245
Schmidt et al. 2016,0.47,ms_rho_mem_inner,75%,1.06091,1.3232325
Schmidt et al. 2016,0.47,ms_rho_mem_inner,25%,1.14535625,1.2176175
Schmidt et al. 2016,0.47,ms_rho_mem_inner,median,1.1820300000000001,1.1820300000000001
Schmidt et al. 2016,0.55,ms_rho_mem_inner,95%,0.835810625,1.17472025
Schmidt et al. 2016,0.55,ms_rho_mem_inner,75%,0.8932045000000001,1.086525
Schmidt et al. 2016,0.55,ms_rho_mem_inner,25%,0.95634275,1.0089887499999999
Schmidt et al. 2016,0.55,ms_rho_mem_inner,median,0.9829285,0.9829285
Schmidt et al. 2016,0.63,ms_rho_mem_inner,95%,1.0399927500000001,1.4052107500000002
Schmidt et al. 2016,0.63,ms_rho_mem_inner,75%,1.10552375,1.3157800000000002
Schmidt et al. 2016,0.63,ms_rho_mem_inner,25%,1.1760925,1.233775
Schmidt et al. 2016,0.63,ms_rho_mem_inner,median,1.2043650000000001,1.2043650000000001
Schmidt et al. 2016,0.4,ms_rho_mem_inner,95%,1.0367985,1.5984882500000002
Schmidt et al. 2016,0.4,ms_rho_mem_inner,75%,1.1258637500000002,1.43961125
Schmidt et al. 2016,0.4,ms_rho_mem_inner,25%,1.22477125,1.31246
Schmidt et al. 2016,0.4,ms_rho_mem_inner,median,1.26859,1.26859
Schmidt et al. 2016,0.44,ms_rho_mem_inner,95%,0.93399155,1.40027325
Schmidt et al. 2016,0.44,ms_rho_mem_inner,75%,1.010225,1.2737625
Schmidt et al. 2016,0.44,ms_rho_mem_inner,25%,1.09474625,1.1670175
Schmidt et al. 2016,0.44,ms_rho_mem_inner,median,1.131835,1.131835
Schmidt et al. 2016,0.55,ms_rho_mem_inner,95%,0.940244325,1.32150125
Schmidt et al. 2016,0.55,ms_rho_mem_inner,75%,1.0048062500000001,1.22228125
Schmidt et al. 2016,0.55,ms_rho_mem_inner,25%,1.07583625,1.1350525
