carbon_source,replicate,sig2_lower,sig2_upper,sig1_lower,sig1_upper,mean,quantity,strain
LB,1,358.798646,271.237475,469.96405000000004,310.60195999999996,405.24771999999996,rho_cyt_prot,wildtype
LB,2,329.38623950000004,248.883475,431.64390000000003,285.05852000000004,372.1885199999999,rho_cyt_prot,wildtype
acetate,1,412.35952949999995,343.09425000000005,477.89354999999995,378.51328,446.08332,rho_cyt_prot,wildtype
acetate,2,396.44872625,331.25545,457.576125,365.03508,427.92307999999997,rho_cyt_prot,wildtype
glucose,1,378.249525,335.323775,420.33599999999996,357.14491999999996,399.14500000000004,rho_cyt_prot,wildtype
glucose,2,380.32022075,337.51392500000003,422.3046,359.16852,401.10364,rho_cyt_prot,wildtype
glucose+acetate,1,393.4702845,348.79577500000005,437.22635,371.42323999999996,415.22436,rho_cyt_prot,wildtype
glucose+acetate,2,364.56365425,318.79197500000004,408.84972500000003,342.35868,386.76248,rho_cyt_prot,wildtype
glucoseCAA,1,266.8454545,229.48760000000001,307.95860000000005,247.795,285.43404000000004,rho_cyt_prot,wildtype
glucoseCAA,2,228.56446674999998,200.56045,258.2672,214.53672,242.70056,rho_cyt_prot,wildtype
glycerol,1,443.60176225,386.4689,498.97427500000003,416.00668,471.00600000000003,rho_cyt_prot,wildtype
glycerol,2,450.74145325,390.546575,508.46320000000003,421.54448,479.44216,rho_cyt_prot,wildtype
sorbitol,1,422.47290749999996,365.65957499999996,476.79285000000004,394.83564,449.6164,rho_cyt_prot,wildtype
sorbitol,2,398.46048199999996,344.333875,450.315025,372.29336,424.27644,rho_cyt_prot,wildtype
LB,1,176.26547275000001,139.929325,219.804975,156.85868,195.69819999999999,rho_cyt_rna,wildtype
LB,2,158.030471725,125.379075,197.183225,140.60472000000001,175.50804,rho_cyt_rna,wildtype
acetate,1,92.29891722499998,80.46821249999999,105.152325,86.329828,98.377632,rho_cyt_rna,wildtype
acetate,2,91.564659725,80.092365,103.91010000000001,85.751024,97.434968,rho_cyt_rna,wildtype
glucose,1,101.31692997500001,92.3622025,110.84637500000001,96.78527199999999,105.89148,rho_cyt_rna,wildtype
glucose,2,105.89151345,96.5362325,115.816025,101.18268,110.62747999999999,rho_cyt_rna,wildtype
glucose+acetate,1,105.91936295000001,96.54974250000001,115.9344,101.20124,110.728,rho_cyt_rna,wildtype
glucose+acetate,2,92.815328075,83.7771725,102.11955,88.33922799999999,97.47467599999999,rho_cyt_rna,wildtype
glucoseCAA,1,93.90077762499999,83.079175,105.43900000000001,88.318068,99.402264,rho_cyt_rna,wildtype
glucoseCAA,2,74.25687825,66.7732,82.3785525,70.450196,77.992212,rho_cyt_rna,wildtype
glycerol,1,113.48540492500001,102.08635,125.071275,107.91984000000001,119.30196,rho_cyt_rna,wildtype
glycerol,2,113.048215525,101.25659999999999,125.0653,107.35552,119.036,rho_cyt_rna,wildtype
sorbitol,1,105.756440675,94.6517475,117.149375,100.401,111.39032,rho_cyt_rna,wildtype
sorbitol,2,99.798134575,89.26633,110.657225,94.69142000000001,105.14547999999999,rho_cyt_rna,wildtype
LB,1,535.0641255,438.369325,652.23475,485.2652,584.82264,rho_cyt_tot,wildtype
LB,2,487.41671575,398.4142,594.996025,441.56548,533.03476,rho_cyt_tot,wildtype
acetate,1,504.6584465000001,433.44005,571.90965,470.4042,538.61884,rho_cyt_tot,wildtype
acetate,2,488.01338425,421.19165,550.6216250000001,455.877,519.84152,rho_cyt_tot,wildtype
glucose,1,479.56645175,436.06945,523.4368499999999,458.49852000000004,501.20592,rho_cyt_tot,wildtype
glucose,2,486.21172974999996,443.06885,529.966425,465.28212,507.66880000000003,rho_cyt_tot,wildtype
glucose+acetate,1,499.38964899999996,453.99595,545.096275,477.43364,521.9042,rho_cyt_tot,wildtype
glucose+acetate,2,457.37898699999994,410.9184,503.064725,435.03536,479.91228,rho_cyt_tot,wildtype
glucoseCAA,1,360.746231,321.78967500000005,402.7328,341.3358,380.19404,rho_cyt_tot,wildtype
glucoseCAA,2,302.821353,273.7853,333.2785,288.356,317.431,rho_cyt_tot,wildtype
glycerol,1,557.0871822500001,498.81174999999996,613.6229,529.37588,584.9363599999999,rho_cyt_tot,wildtype
glycerol,2,563.7896695000001,502.10025,622.7016,534.50212,592.90028,rho_cyt_tot,wildtype
sorbitol,1,528.229353,469.94275,583.9662,500.40716000000003,555.74028,rho_cyt_tot,wildtype
sorbitol,2,498.258616,442.86355000000003,551.4421,471.84052,524.52244,rho_cyt_tot,wildtype
LB,1,114.38201832500002,86.468125,149.82045000000002,99.017176,129.18916,rho_peri,wildtype
LB,2,87.06491335,65.7861175,114.09375000000001,75.348056,98.37857199999999,rho_peri,wildtype
acetate,1,265.16981475,220.628775,307.312325,243.40508,286.85672,rho_peri,wildtype
acetate,2,288.67015524999994,241.20015,333.17885,265.79679999999996,311.58744,rho_peri,wildtype
glucose,1,155.98193625,138.280075,173.337425,147.27884,164.59876,rho_peri,wildtype
glucose,2,188.653519,167.419975,209.47977500000002,178.16084,198.96331999999998,rho_peri,wildtype
