lower,upper,quantity,interval,strain,carbon_source,overexpression,inducer_conc,inducer,temperature
0.8114125,0.8114125,volume_rep,median,malE-rbsB-fliC-KO,acetate,malE,10.0,ctc,37.0
0.4243931,1.098995,volume_rep,95%,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.574504375,0.951080625,volume_rep,75%,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.7155192499999999,0.80261125,volume_rep,25%,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.7592639999999999,0.7592639999999999,volume_rep,median,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.5148757,1.288492999999999,volume_rep,95%,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.6643941250000001,1.1155525,volume_rep,75%,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.834439625,0.940011875,volume_rep,25%,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.884614,0.884614,volume_rep,median,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.35396875,1.3162914999999997,volume_rep,95%,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
0.573957375,1.10294,volume_rep,75%,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
0.784736125,0.9041625,volume_rep,25%,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
0.842769,0.842769,volume_rep,median,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
0.51413765,1.0906045,volume_rep,95%,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.63602775,0.985129625,volume_rep,75%,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.7737905,0.85775,volume_rep,25%,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.8128155,0.8128155,volume_rep,median,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.63296095,0.9549163499999999,volume_rep,95%,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
0.697200375,0.892312625,volume_rep,75%,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
0.772037875,0.818224625,volume_rep,25%,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
0.794809,0.794809,volume_rep,median,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
0.32548895000000005,1.782178499999999,volume_rep,95%,malE-rbsB-fliC-KO,glucose,none,0.0,none,37.0
0.62210275,1.5237937499999998,volume_rep,75%,malE-rbsB-fliC-KO,glucose,none,0.0,none,37.0
0.97955675,1.20210125,volume_rep,25%,malE-rbsB-fliC-KO,glucose,none,0.0,none,37.0
1.0964800000000001,1.0964800000000001,volume_rep,median,malE-rbsB-fliC-KO,glucose,none,0.0,none,37.0
0.6082659,0.90419525,volume_rep,95%,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.66351225,0.8523035,volume_rep,75%,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.73680475,0.783729625,volume_rep,25%,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.7598135,0.7598135,volume_rep,median,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.8826583,1.6006984999999991,volume_rep,95%,wildtype,glucoseCAA,none,0.0,none,37.0
1.03751875,1.44816625,volume_rep,75%,wildtype,glucoseCAA,none,0.0,none,37.0
1.20225625,1.29791875,volume_rep,25%,wildtype,glucoseCAA,none,0.0,none,37.0
1.253765,1.253765,volume_rep,median,wildtype,glucoseCAA,none,0.0,none,37.0
0.019796500000000068,1.732895,volume_rep,95%,wildtype,glycerol,none,0.0,none,37.0
0.299114625,1.40343625,volume_rep,75%,wildtype,glycerol,none,0.0,none,37.0
0.71441775,1.000235,volume_rep,25%,wildtype,glycerol,none,0.0,none,37.0
0.8547815000000001,0.8547815000000001,volume_rep,median,wildtype,glycerol,none,0.0,none,37.0
0.39224995,0.8883773499999998,volume_rep,95%,wildtype,sorbitol,none,0.0,none,37.0
0.47623249999999995,0.79806825,volume_rep,75%,wildtype,sorbitol,none,0.0,none,37.0
0.596704625,0.67878525,volume_rep,25%,wildtype,sorbitol,none,0.0,none,37.0
0.637651,0.637651,volume_rep,median,wildtype,sorbitol,none,0.0,none,37.0
1.4078895,3.6276554999999995,volume_rep,95%,wildtype,LB,none,0.0,none,37.0
1.81415125,3.2886625,volume_rep,75%,wildtype,LB,none,0.0,none,37.0
2.3634425,2.76143,volume_rep,25%,wildtype,LB,none,0.0,none,37.0
2.552315,2.552315,volume_rep,median,wildtype,LB,none,0.0,none,37.0
0.5804352,0.8907464999999999,volume_rep,95%,wildtype,acetate,none,0.0,none,37.0
0.628331,0.838242,volume_rep,75%,wildtype,acetate,none,0.0,none,37.0
0.70580225,0.763459375,volume_rep,25%,wildtype,acetate,none,0.0,none,37.0
0.734854,0.734854,volume_rep,median,wildtype,acetate,none,0.0,none,37.0
0.8096122,1.327485,volume_rep,95%,wildtype,glucose,none,0.0,none,37.0
0.886411875,1.24589875,volume_rep,75%,wildtype,glucose,none,0.0,none,37.0
1.01750875,1.11263375,volume_rep,25%,wildtype,glucose,none,0.0,none,37.0
1.06305,1.06305,volume_rep,median,wildtype,glucose,none,0.0,none,37.0
0.18509285,0.3064386,peri_volume_rep,95%,lpp14,glucose,none,0.0,none,37.0
0.20281325,0.2791455,peri_volume_rep,75%,lpp14,glucose,none,0.0,none,37.0
0.229605125,0.24837825,peri_volume_rep,25%,lpp14,glucose,none,0.0,none,37.0
0.23912899999999998,0.23912899999999998,peri_volume_rep,median,lpp14,glucose,none,0.0,none,37.0
0.1128913,0.4430707999999998,peri_volume_rep,95%,wildtype,glucose,lacZ,5.0,ctc,37.0
0.14987487500000002,0.304377375,peri_volume_rep,75%,wildtype,glucose,lacZ,5.0,ctc,37.0
0.191599125,0.22218125,peri_volume_rep,25%,wildtype,glucose,lacZ,5.0,ctc,37.0
0.206611,0.206611,peri_volume_rep,median,wildtype,glucose,lacZ,5.0,ctc,37.0
0.1265136,0.2912485999999999,peri_volume_rep,95%,wildtype,glucose,lacZ,20.0,ctc,37.0
0.1501895,0.238515125,peri_volume_rep,75%,wildtype,glucose,lacZ,20.0,ctc,37.0
0.178946375,0.19847662500000002,peri_volume_rep,25%,wildtype,glucose,lacZ,20.0,ctc,37.0
0.18858750000000002,0.18858750000000002,peri_volume_rep,median,wildtype,glucose,lacZ,20.0,ctc,37.0
0.15907475,0.23255364999999995,peri_volume_rep,95%,wildtype,glucose,lacZ,10.0,ctc,37.0
0.171069,0.21305675,peri_volume_rep,75%,wildtype,glucose,lacZ,10.0,ctc,37.0
0.18522725,0.19464325,peri_volume_rep,25%,wildtype,glucose,lacZ,10.0,ctc,37.0
0.1901555,0.1901555,peri_volume_rep,median,wildtype,glucose,lacZ,10.0,ctc,37.0
0.1402019,0.21147264999999998,peri_volume_rep,95%,lpp14,acetate,none,0.0,none,37.0
0.15213174999999998,0.19403700000000002,peri_volume_rep,75%,lpp14,acetate,none,0.0,none,37.0
0.167205375,0.176870625,peri_volume_rep,25%,lpp14,acetate,none,0.0,none,37.0
0.171946,0.171946,peri_volume_rep,median,lpp14,acetate,none,0.0,none,37.0
0.09352669499999999,0.40490329999999985,peri_volume_rep,95%,lpp14,glycerol,none,0.0,none,37.0
0.122237875,0.30471875,peri_volume_rep,75%,lpp14,glycerol,none,0.0,none,37.0
0.171856,0.21431524999999998,peri_volume_rep,25%,lpp14,glycerol,none,0.0,none,37.0
0.1915885,0.1915885,peri_volume_rep,median,lpp14,glycerol,none,0.0,none,37.0
0.10286535,0.14586405,peri_volume_rep,95%,lpp14,sorbitol,none,0.0,none,37.0
0.110230625,0.13700637499999999,peri_volume_rep,75%,lpp14,sorbitol,none,0.0,none,37.0
0.1197405,0.126673125,peri_volume_rep,25%,lpp14,sorbitol,none,0.0,none,37.0
0.12318599999999999,0.12318599999999999,peri_volume_rep,median,lpp14,sorbitol,none,0.0,none,37.0
0.10040935000000001,0.15146415,peri_volume_rep,95%,malE-rbsB-fliC-KO,acetate,malE,10.0,ctc,37.0
0.11002100000000001,0.13823,peri_volume_rep,75%,malE-rbsB-fliC-KO,acetate,malE,10.0,ctc,37.0
0.119553625,0.125666,peri_volume_rep,25%,malE-rbsB-fliC-KO,acetate,malE,10.0,ctc,37.0
0.1224735,0.1224735,peri_volume_rep,median,malE-rbsB-fliC-KO,acetate,malE,10.0,ctc,37.0
0.09712330999999999,0.14531099999999997,peri_volume_rep,95%,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.10614612500000001,0.13264462500000002,peri_volume_rep,75%,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.1156475,0.12174175000000001,peri_volume_rep,25%,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.11858450000000001,0.11858450000000001,peri_volume_rep,median,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.096113585,0.1744819499999999,peri_volume_rep,95%,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.10866775000000001,0.153917375,peri_volume_rep,75%,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.12390125,0.13425525,peri_volume_rep,25%,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.129237,0.129237,peri_volume_rep,median,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.09339647499999999,0.16928449999999998,peri_volume_rep,95%,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
0.10533625,0.14744800000000002,peri_volume_rep,75%,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
0.119349,0.128958375,peri_volume_rep,25%,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
0.1239355,0.1239355,peri_volume_rep,median,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
0.09855153500000001,0.14829395,peri_volume_rep,95%,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.10727587499999999,0.136695375,peri_volume_rep,75%,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.117889875,0.12485575,peri_volume_rep,25%,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.121073,0.121073,peri_volume_rep,median,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.1112525,0.13040269999999998,peri_volume_rep,95%,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
0.114888875,0.12631425000000002,peri_volume_rep,75%,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
0.119189,0.121911,peri_volume_rep,25%,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
0.120554,0.120554,peri_volume_rep,median,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
0.09968818500000001,0.22801454999999993,peri_volume_rep,95%,malE-rbsB-fliC-KO,glucose,none,0.0,none,37.0
0.11665787500000001,0.193779875,peri_volume_rep,75%,malE-rbsB-fliC-KO,glucose,none,0.0,none,37.0
0.1415235,0.159830125,peri_volume_rep,25%,malE-rbsB-fliC-KO,glucose,none,0.0,none,37.0
0.151093,0.151093,peri_volume_rep,median,malE-rbsB-fliC-KO,glucose,none,0.0,none,37.0
0.10246605,0.13159824999999997,peri_volume_rep,95%,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.107080375,0.126111625,peri_volume_rep,75%,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.1138305,0.118644,peri_volume_rep,25%,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.1162945,0.1162945,peri_volume_rep,median,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.13234145,0.22307604999999994,peri_volume_rep,95%,wildtype,glucoseCAA,none,0.0,none,37.0
0.14663437499999998,0.19540275,peri_volume_rep,75%,wildtype,glucoseCAA,none,0.0,none,37.0
0.16221625,0.173255625,peri_volume_rep,25%,wildtype,glucoseCAA,none,0.0,none,37.0
0.167264,0.167264,peri_volume_rep,median,wildtype,glucoseCAA,none,0.0,none,37.0
0.06926969,0.25562134999999997,peri_volume_rep,95%,wildtype,glycerol,none,0.0,none,37.0
0.087315875,0.196803125,peri_volume_rep,75%,wildtype,glycerol,none,0.0,none,37.0
0.117202875,0.14379787500000002,peri_volume_rep,25%,wildtype,glycerol,none,0.0,none,37.0
0.12930350000000002,0.12930350000000002,peri_volume_rep,median,wildtype,glycerol,none,0.0,none,37.0
0.08221519,0.13534559999999998,peri_volume_rep,95%,wildtype,sorbitol,none,0.0,none,37.0
0.0899301375,0.123589875,peri_volume_rep,75%,wildtype,sorbitol,none,0.0,none,37.0
0.1014885,0.109912375,peri_volume_rep,25%,wildtype,sorbitol,none,0.0,none,37.0
0.105496,0.105496,peri_volume_rep,median,wildtype,sorbitol,none,0.0,none,37.0
0.19153475,0.40372609999999987,peri_volume_rep,95%,wildtype,LB,none,0.0,none,37.0
0.21646074999999998,0.35596475,peri_volume_rep,75%,wildtype,LB,none,0.0,none,37.0
0.25857512499999996,0.29598925,peri_volume_rep,25%,wildtype,LB,none,0.0,none,37.0
0.2766645,0.2766645,peri_volume_rep,median,wildtype,LB,none,0.0,none,37.0
0.09928569000000001,0.13269034999999998,peri_volume_rep,95%,wildtype,acetate,none,0.0,none,37.0
0.10391687499999999,0.126693,peri_volume_rep,75%,wildtype,acetate,none,0.0,none,37.0
0.111605625,0.117610375,peri_volume_rep,25%,wildtype,acetate,none,0.0,none,37.0
0.11453250000000001,0.11453250000000001,peri_volume_rep,median,wildtype,acetate,none,0.0,none,37.0
0.1260917,0.17827719999999997,peri_volume_rep,95%,wildtype,glucose,none,0.0,none,37.0
0.13355775,0.1685875,peri_volume_rep,75%,wildtype,glucose,none,0.0,none,37.0
0.14566199999999999,0.155366125,peri_volume_rep,25%,wildtype,glucose,none,0.0,none,37.0
0.150688,0.150688,peri_volume_rep,median,wildtype,glucose,none,0.0,none,37.0
0.06439214,0.08772507,phi_peri,95%,lpp14,acetate,none,0.0,none,37.0
0.0685767625,0.08283787499999999,phi_peri,75%,lpp14,acetate,none,0.0,none,37.0
0.07357915,0.07720915,phi_peri,25%,lpp14,acetate,none,0.0,none,37.0
0.07533445,0.07533445,phi_peri,median,lpp14,acetate,none,0.0,none,37.0
0.03215584,0.04555444499999999,phi_peri,95%,lpp14,glucose,none,0.0,none,37.0
0.034192600000000004,0.0424491875,phi_peri,75%,lpp14,glucose,none,0.0,none,37.0
0.037118825,0.0392232375,phi_peri,25%,lpp14,glucose,none,0.0,none,37.0
0.03813055,0.03813055,phi_peri,median,lpp14,glucose,none,0.0,none,37.0
0.039876995,0.05659633499999998,phi_peri,95%,lpp14,glycerol,none,0.0,none,37.0
0.0422730875,0.052510225,phi_peri,75%,lpp14,glycerol,none,0.0,none,37.0
0.04574975,0.048347675,phi_peri,25%,lpp14,glycerol,none,0.0,none,37.0
0.0469608,0.0469608,phi_peri,median,lpp14,glycerol,none,0.0,none,37.0
0.064605515,0.093176895,phi_peri,95%,lpp14,sorbitol,none,0.0,none,37.0
0.06883343750000001,0.0866272375,phi_peri,75%,lpp14,sorbitol,none,0.0,none,37.0
0.07496348750000001,0.079506225,phi_peri,25%,lpp14,sorbitol,none,0.0,none,37.0
0.07726025,0.07726025,phi_peri,median,lpp14,sorbitol,none,0.0,none,37.0
0.04043469,0.059440815,phi_peri,95%,malE-rbsB-fliC-KO,acetate,malE,10.0,ctc,37.0
0.043134725,0.055321825000000005,phi_peri,75%,malE-rbsB-fliC-KO,acetate,malE,10.0,ctc,37.0
0.0471305625,0.0503940375,phi_peri,25%,malE-rbsB-fliC-KO,acetate,malE,10.0,ctc,37.0
0.04873825,0.04873825,phi_peri,median,malE-rbsB-fliC-KO,acetate,malE,10.0,ctc,37.0
0.057674085,0.07831139,phi_peri,95%,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.0612653875,0.074309325,phi_peri,75%,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.06592358749999999,0.0693503125,phi_peri,25%,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.06764885000000001,0.06764885000000001,phi_peri,median,malE-rbsB-fliC-KO,acetate,malE,50.0,ctc,37.0
0.05965587,0.096229455,phi_peri,95%,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.0644367,0.088287225,phi_peri,75%,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.0725304625,0.0792368875,phi_peri,25%,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.07586765000000001,0.07586765000000001,phi_peri,median,malE-rbsB-fliC-KO,acetate,malE,100.0,ctc,37.0
0.03871305,0.05552032499999999,phi_peri,95%,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.0412569,0.0521625375,phi_peri,75%,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.0448553375,0.0475347,phi_peri,25%,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.046241950000000004,0.046241950000000004,phi_peri,median,malE-rbsB-fliC-KO,acetate,none,0.0,none,37.0
0.052458195,0.08563162499999996,phi_peri,95%,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
0.057087525,0.0792833625,phi_peri,75%,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
