value,kde,parameter,model,volume_scale
13.683185618729098,0.0,m_peri_mu,const_phi_mem,linear_width
13.706042056856187,0.0,m_peri_mu,const_phi_mem,linear_width
13.728898494983278,0.0,m_peri_mu,const_phi_mem,linear_width
13.75175493311037,0.0,m_peri_mu,const_phi_mem,linear_width
13.774611371237459,0.0,m_peri_mu,const_phi_mem,linear_width
13.79746780936455,0.0,m_peri_mu,const_phi_mem,linear_width
13.82032424749164,0.0,m_peri_mu,const_phi_mem,linear_width
13.84318068561873,0.0,m_peri_mu,const_phi_mem,linear_width
13.86603712374582,0.0,m_peri_mu,const_phi_mem,linear_width
13.88889356187291,0.0,m_peri_mu,const_phi_mem,linear_width
13.911750000000001,0.0,m_peri_mu,const_phi_mem,linear_width
94.3095,5.066934798013637e-33,rho_prot,const_rho_mem,smk
95.2983102006689,2.2282381307585963e-31,rho_prot,const_rho_mem,smk
96.28712040133779,8.687635812675478e-30,rho_prot,const_rho_mem,smk
97.2759306020067,3.003095136263651e-28,rho_prot,const_rho_mem,smk
98.26474080267559,9.203823364812524e-27,rho_prot,const_rho_mem,smk
99.25355100334448,2.5009440196305137e-25,rho_prot,const_rho_mem,smk
100.24236120401338,6.0253424016556e-24,rho_prot,const_rho_mem,smk
101.23117140468227,1.287087455106245e-22,rho_prot,const_rho_mem,smk
102.21998160535117,2.4377583067610375e-21,rho_prot,const_rho_mem,smk
103.20879180602006,4.093913922568542e-20,rho_prot,const_rho_mem,smk
104.19760200668897,6.096258488590418e-19,rho_prot,const_rho_mem,smk
105.18641220735786,8.04967218711796e-18,rho_prot,const_rho_mem,smk
106.17522240802676,9.425399678933502e-17,rho_prot,const_rho_mem,smk
107.16403260869565,9.786976909505724e-16,rho_prot,const_rho_mem,smk
108.15284280936454,9.012594633891346e-15,rho_prot,const_rho_mem,smk
109.14165301003345,7.360968003424184e-14,rho_prot,const_rho_mem,smk
110.13046321070235,5.332645803990619e-13,rho_prot,const_rho_mem,smk
111.11927341137124,3.4270590644706088e-12,rho_prot,const_rho_mem,smk
112.10808361204013,1.9540312410231465e-11,rho_prot,const_rho_mem,smk
113.09689381270903,9.886599427379104e-11,rho_prot,const_rho_mem,smk
114.08570401337792,4.439765925519001e-10,rho_prot,const_rho_mem,smk
115.07451421404681,1.7700465030112526e-09,rho_prot,const_rho_mem,smk
116.06332441471571,6.267013059524319e-09,rho_prot,const_rho_mem,smk
117.05213461538462,1.9713281977981517e-08,rho_prot,const_rho_mem,smk
118.04094481605351,5.511729239458207e-08,rho_prot,const_rho_mem,smk
119.0297550167224,1.370564824822463e-07,rho_prot,const_rho_mem,smk
120.0185652173913,3.033185853076634e-07,rho_prot,const_rho_mem,smk
121.0073754180602,5.979404256933757e-07,rho_prot,const_rho_mem,smk
121.9961856187291,1.0510966370663633e-06,rho_prot,const_rho_mem,smk
122.984995819398,1.6499846318053516e-06,rho_prot,const_rho_mem,smk
123.97380602006689,2.318041266395604e-06,rho_prot,const_rho_mem,smk
124.96261622073578,2.9258811287935576e-06,rho_prot,const_rho_mem,smk
125.95142642140468,3.344448487764379e-06,rho_prot,const_rho_mem,smk
126.94023662207357,3.5219031559489046e-06,rho_prot,const_rho_mem,smk
127.92904682274246,3.5416549525352723e-06,rho_prot,const_rho_mem,smk
128.91785702341136,3.6217479413206927e-06,rho_prot,const_rho_mem,smk
129.90666722408025,4.047723348429279e-06,rho_prot,const_rho_mem,smk
130.89547742474917,5.072295664464721e-06,rho_prot,const_rho_mem,smk
131.88428762541804,6.838798017537317e-06,rho_prot,const_rho_mem,smk
132.87309782608696,9.372941487909545e-06,rho_prot,const_rho_mem,smk
133.86190802675586,1.263992834356288e-05,rho_prot,const_rho_mem,smk
134.85071822742475,1.6610748946931066e-05,rho_prot,const_rho_mem,smk
135.83952842809364,2.127126899918856e-05,rho_prot,const_rho_mem,smk
136.82833862876254,2.6565430652209755e-05,rho_prot,const_rho_mem,smk
137.81714882943143,3.2347941128203927e-05,rho_prot,const_rho_mem,smk
138.80595903010033,3.8445275569828657e-05,rho_prot,const_rho_mem,smk
139.79476923076922,4.4840868389503885e-05,rho_prot,const_rho_mem,smk
140.7835794314381,5.186903753283837e-05,rho_prot,const_rho_mem,smk
141.77238963210704,6.0244031141824126e-05,rho_prot,const_rho_mem,smk
142.7611998327759,7.083723904402498e-05,rho_prot,const_rho_mem,smk
143.75001003344482,8.429372098633777e-05,rho_prot,const_rho_mem,smk
144.73882023411372,0.00010071136682701715,rho_prot,const_rho_mem,smk
145.7276304347826,0.00011959070662370726,rho_prot,const_rho_mem,smk
146.7164406354515,0.00014011559815527958,rho_prot,const_rho_mem,smk
147.7052508361204,0.00016164482013147365,rho_prot,const_rho_mem,smk
148.6940610367893,0.00018417885454191763,rho_prot,const_rho_mem,smk
149.6828712374582,0.00020856335655472969,rho_prot,const_rho_mem,smk
150.67168143812708,0.00023630798339803195,rho_prot,const_rho_mem,smk
151.66049163879597,0.00026909764754632086,rho_prot,const_rho_mem,smk
152.64930183946487,0.00030825110780276254,rho_prot,const_rho_mem,smk
153.63811204013376,0.00035441295326255355,rho_prot,const_rho_mem,smk
154.62692224080268,0.00040760338383338064,rho_prot,const_rho_mem,smk
155.61573244147155,0.0004675021444853941,rho_prot,const_rho_mem,smk
156.60454264214047,0.0005337081975740475,rho_prot,const_rho_mem,smk
157.59335284280937,0.0006058140137536704,rho_prot,const_rho_mem,smk
158.58216304347826,0.0006833647754605175,rho_prot,const_rho_mem,smk
159.57097324414715,0.0007658979906265649,rho_prot,const_rho_mem,smk
160.55978344481605,0.0008531492494180453,rho_prot,const_rho_mem,smk
161.54859364548494,0.0009452975644823302,rho_prot,const_rho_mem,smk
162.53740384615384,0.0010430443006803317,rho_prot,const_rho_mem,smk
163.52621404682273,0.0011474393567329321,rho_prot,const_rho_mem,smk
164.51502424749162,0.0012595457296255435,rho_prot,const_rho_mem,smk
165.50383444816055,0.0013801198689262248,rho_prot,const_rho_mem,smk
166.4926446488294,0.001509454151420841,rho_prot,const_rho_mem,smk
167.48145484949833,0.001647417629488939,rho_prot,const_rho_mem,smk
168.4702650501672,0.001793595588285892,rho_prot,const_rho_mem,smk
169.45907525083612,0.0019473805529142683,rho_prot,const_rho_mem,smk
170.44788545150502,0.00210800835276313,rho_prot,const_rho_mem,smk
171.4366956521739,0.00227473825321338,rho_prot,const_rho_mem,smk
172.4255058528428,0.002447330591774316,rho_prot,const_rho_mem,smk
