lower,upper,quantity,interval,growth_rate_hr
157.5205,177.7625,M_prot_pred,75%,0.45226130653266333
164.63425,170.27225,M_prot_pred,25%,0.45226130653266333
167.43349999999998,167.43349999999998,M_prot_pred,median,0.45226130653266333
151.193,187.516575,M_prot_pred,95%,0.4648241206030151
159.193875,179.428125,M_prot_pred,75%,0.4648241206030151
166.3505,171.97975,M_prot_pred,25%,0.4648241206030151
169.13150000000002,169.13150000000002,M_prot_pred,median,0.4648241206030151
153.008275,189.251275,M_prot_pred,95%,0.47738693467336685
160.91887499999999,181.120375,M_prot_pred,75%,0.47738693467336685
168.105125,173.67399999999998,M_prot_pred,25%,0.47738693467336685
170.8315,170.8315,M_prot_pred,median,0.47738693467336685
154.70055,190.872275,M_prot_pred,95%,0.4899497487437186
162.63850000000002,182.8335,M_prot_pred,75%,0.4899497487437186
169.85362500000002,175.40087499999998,M_prot_pred,25%,0.4899497487437186
172.5685,172.5685,M_prot_pred,median,0.4899497487437186
156.48782500000002,192.6465,M_prot_pred,95%,0.5025125628140704
164.399,184.566375,M_prot_pred,75%,0.5025125628140704
171.63025,177.1245,M_prot_pred,25%,0.5025125628140704
174.33100000000002,174.33100000000002,M_prot_pred,median,0.5025125628140704
158.324525,194.436,M_prot_pred,95%,0.5150753768844222
166.183,186.387125,M_prot_pred,75%,0.5150753768844222
173.446625,178.879,M_prot_pred,25%,0.5150753768844222
176.154,176.154,M_prot_pred,median,0.5150753768844222
160.0358,196.12635,M_prot_pred,95%,0.5276381909547739
167.979,188.14612499999998,M_prot_pred,75%,0.5276381909547739
175.260875,180.671875,M_prot_pred,25%,0.5276381909547739
177.9355,177.9355,M_prot_pred,median,0.5276381909547739
161.912975,197.922525,M_prot_pred,95%,0.5402010050251257
169.809625,189.9195,M_prot_pred,75%,0.5402010050251257
177.08575,182.51375,M_prot_pred,25%,0.5402010050251257
179.73149999999998,179.73149999999998,M_prot_pred,median,0.5402010050251257
163.799575,199.671025,M_prot_pred,95%,0.5527638190954774
171.65675000000002,191.723125,M_prot_pred,75%,0.5527638190954774
178.9105,184.351375,M_prot_pred,25%,0.5527638190954774
181.5565,181.5565,M_prot_pred,median,0.5527638190954774
165.47934999999998,201.50967500000002,M_prot_pred,95%,0.5653266331658292
173.53425,193.5695,M_prot_pred,75%,0.5653266331658292
180.78762500000002,186.280625,M_prot_pred,25%,0.5653266331658292
183.40550000000002,183.40550000000002,M_prot_pred,median,0.5653266331658292
167.37875,203.347475,M_prot_pred,95%,0.577889447236181
175.434875,195.39124999999999,M_prot_pred,75%,0.577889447236181
182.658375,188.16025,M_prot_pred,25%,0.577889447236181
185.253,185.253,M_prot_pred,median,0.577889447236181
169.238475,205.2744,M_prot_pred,95%,0.5904522613065327
177.310125,197.31275000000002,M_prot_pred,75%,0.5904522613065327
184.56875,190.054125,M_prot_pred,25%,0.5904522613065327
187.171,187.171,M_prot_pred,median,0.5904522613065327
171.118,207.088875,M_prot_pred,95%,0.6030150753768845
179.19575,199.2175,M_prot_pred,75%,0.6030150753768845
186.469875,192.001375,M_prot_pred,25%,0.6030150753768845
189.0495,189.0495,M_prot_pred,median,0.6030150753768845
172.954825,208.98952500000001,M_prot_pred,95%,0.6155778894472362
181.150375,201.154625,M_prot_pred,75%,0.6155778894472362
188.41875,193.93837499999998,M_prot_pred,25%,0.6155778894472362
190.99099999999999,190.99099999999999,M_prot_pred,median,0.6155778894472362
174.920275,210.9885,M_prot_pred,95%,0.628140703517588
183.08075,203.062125,M_prot_pred,75%,0.628140703517588
190.34550000000002,195.8985,M_prot_pred,25%,0.628140703517588
192.94400000000002,192.94400000000002,M_prot_pred,median,0.628140703517588
176.83950000000002,212.937225,M_prot_pred,95%,0.6407035175879398
184.988,205.042375,M_prot_pred,75%,0.6407035175879398
192.28225,197.87675000000002,M_prot_pred,25%,0.6407035175879398
194.909,194.909,M_prot_pred,median,0.6407035175879398
178.88475,214.96925,M_prot_pred,95%,0.6532663316582915
186.885625,207.038125,M_prot_pred,75%,0.6532663316582915
194.303,199.89275,M_prot_pred,25%,0.6532663316582915
196.8825,196.8825,M_prot_pred,median,0.6532663316582915
180.99657499999998,216.9946,M_prot_pred,95%,0.6658291457286433
188.841125,209.099625,M_prot_pred,75%,0.6658291457286433
196.34,201.9315,M_prot_pred,25%,0.6658291457286433
198.941,198.941,M_prot_pred,median,0.6658291457286433
182.97807500000002,219.15257499999998,M_prot_pred,95%,0.678391959798995
190.8975,211.147625,M_prot_pred,75%,0.678391959798995
198.41225,203.960875,M_prot_pred,25%,0.678391959798995
200.998,200.998,M_prot_pred,median,0.678391959798995
185.073725,221.21925,M_prot_pred,95%,0.6909547738693468
192.958625,213.269625,M_prot_pred,75%,0.6909547738693468
200.43699999999998,206.03187499999999,M_prot_pred,25%,0.6909547738693468
203.0565,203.0565,M_prot_pred,median,0.6909547738693468
186.90275,223.451,M_prot_pred,95%,0.7035175879396985
195.00875,215.399,M_prot_pred,75%,0.7035175879396985
202.483125,208.12875,M_prot_pred,25%,0.7035175879396985
205.1725,205.1725,M_prot_pred,median,0.7035175879396985
189.039175,225.51465000000002,M_prot_pred,95%,0.7160804020100503
196.999875,217.582125,M_prot_pred,75%,0.7160804020100503
204.58425,210.219875,M_prot_pred,25%,0.7160804020100503
207.2865,207.2865,M_prot_pred,median,0.7160804020100503
190.96665000000002,227.756275,M_prot_pred,95%,0.7286432160804021
199.136125,219.73024999999998,M_prot_pred,75%,0.7286432160804021
