quantity,phi_rib,mean,median,sig2_lower,sig2_upper,sig1_lower,sig1_upper
phi_peri_mu,0.2131578947368421,0.0607931015,0.0607712,0.0535600075,0.06844809,0.057237136,0.064305272
phi_peri_mu,0.2368421052631579,0.0515176115,0.05144895,0.04371866,0.059859587500000005,0.04759828,0.05540534
phi_peri_mu,0.2605263157894737,0.043676461625,0.0435722,0.0356218925,0.052509935,0.039539899999999996,0.047874796000000004
phi_peri_mu,0.28421052631578947,0.0370449629,0.0369225,0.0289952125,0.04625511250000001,0.032796552,0.04125628
phi_peri_mu,0.3078947368421053,0.031434068350000004,0.031261449999999996,0.02356472,0.0408949525,0.027204736,0.035595339999999996
phi_peri_mu,0.3315789473684211,0.02668464905,0.0264611,0.019193267500000003,0.035826642500000005,0.022576864000000002,0.030724032
phi_peri_mu,0.35526315789473684,0.0226626993125,0.0224033,0.015602115000000001,0.03159469250000001,0.018727284,0.026491632
phi_peri_mu,0.37894736842105264,0.0192553233675,0.01895955,0.012692695,0.027843345000000002,0.015529216,0.022845188
phi_peri_mu,0.40263157894736845,0.0163673695375,0.0160434,0.0102879725,0.024559327500000006,0.01287742,0.019746508
phi_peri_mu,0.4263157894736842,0.013918605142499998,0.01359935,0.008343041249999999,0.0216536475,0.0106829,0.017057532
phi_peri_mu,0.45,0.01184134803,0.0115098,0.0067665635,0.0190562,0.0088675208,0.014735492
phi_peri_ppc,0.0,0.27524556099999997,0.2719095,0.200023,0.36300285000000004,0.23548552,0.31454104
phi_peri_ppc,0.02368421052631579,0.2324393465,0.2303665,0.17589022499999998,0.29782670000000006,0.20301999999999998,0.26238143999999997
phi_peri_ppc,0.04736842105263158,0.19619432474999998,0.1952465,0.153283475,0.24421532499999998,0.17371428,0.21771996
phi_peri_ppc,0.07105263157894737,0.16586590507500001,0.16564299999999998,0.13186377500000002,0.20305679999999998,0.14884972000000002,0.18281152
phi_peri_ppc,0.09473684210526316,0.13987901819999998,0.140146,0.110609675,0.16984454999999998,0.125716,0.15335827999999999
phi_peri_ppc,0.11842105263157895,0.11843170745,0.118297,0.0936038075,0.143923725,0.10646484,0.13035212
phi_peri_ppc,0.14210526315789473,0.09985627055,0.09996725000000001,0.0771195575,0.1222653,0.08879522399999999,0.11072028
phi_peri_ppc,0.16578947368421054,0.08483124842499999,0.08486465,0.062454565000000004,0.10763947500000001,0.074115612,0.095616544
phi_peri_ppc,0.18947368421052632,0.07205910527500001,0.0719018,0.049664417499999995,0.0956818925,0.061257416,0.08289224799999999
phi_peri_ppc,0.2131578947368421,0.060785612825,0.06096925,0.0365573625,0.0843066875,0.049605856,0.071996076
phi_peri_ppc,0.2368421052631579,0.051553813010000005,0.05155065,0.028454570000000002,0.0761616425,0.040076528,0.0627845
phi_peri_ppc,0.2605263157894737,0.0434873993125,0.043488399999999997,0.019788570000000002,0.06695758,0.032416632,0.054813072
phi_peri_ppc,0.28421052631578947,0.037069028362624996,0.037080600000000005,0.014137705000000002,0.061298702499999996,0.025791904,0.048300803999999996
phi_peri_ppc,0.3078947368421053,0.031297813992875,0.031142,0.007754889250000001,0.0553550225,0.020158991999999997,0.042260096
phi_peri_ppc,0.3315789473684211,0.026746432928642497,0.02672145,0.0032157992500000004,0.05157906250000001,0.015275252000000003,0.038010063999999996
phi_peri_ppc,0.35526315789473684,0.022790000427100002,0.0226177,-0.0004992773499999999,0.04588392250000001,0.01188866,0.03375794
phi_peri_ppc,0.37894736842105264,0.019110735056096253,0.018922349999999998,-0.003114834,0.04223244250000001,0.008039702,0.030278116
phi_peri_ppc,0.40263157894736845,0.01645535776715,0.01646905,-0.007239103249999998,0.0395145525,0.004989132,0.027832328
phi_peri_ppc,0.4263157894736842,0.01393978154546,0.0136548,-0.008134449249999998,0.0374969375,0.0030381472000000007,0.025179932
phi_peri_ppc,0.45,0.0116333754567275,0.0116355,-0.011573027500000001,0.03459927500000001,0.0010631012000000002,0.0223067
theory_mu,0.0,13.718602632499998,13.609850000000002,11.0835375,16.87952,12.26536,15.12424
theory_mu,0.02368421052631579,11.7131999275,11.672350000000002,9.865027249999999,13.770725,10.748268000000001,12.670012
theory_mu,0.04736842105263158,10.3000141375,10.282499999999999,8.9120835,11.7663625,9.595998400000001,10.983428
theory_mu,0.07105263157894737,9.2408552875,9.230435,8.16949075,10.326730000000001,8.7183276,9.7612676
theory_mu,0.09473684210526316,8.411526835,8.407185,7.588618,9.262179750000001,8.0049368,8.8160852
theory_mu,0.11842105263157895,7.740341435,7.735035,7.081411,8.4013095,7.4177752,8.0644032
theory_mu,0.14210526315789473,7.182864374999999,7.179625,6.629244,7.718246499999999,6.915954,7.45293
theory_mu,0.16578947368421054,6.7100430275,6.7088,6.240305,7.1637915,6.4849192,6.9402544
theory_mu,0.18947368421052632,6.30207056,6.304835000000001,5.8700165,6.71488275,6.0951904,6.5146576
theory_mu,0.2131578947368421,5.94497737,5.94428,5.5198875,6.36224925,5.7405479999999995,6.15274
theory_mu,0.2368421052631579,5.6286304925,5.623875,5.19325725,6.0718905,5.4147951999999995,5.8452464
theory_mu,0.2605263157894737,5.3455006,5.34024,4.86978325,5.8325145,5.1170508,5.5810824
theory_mu,0.28421052631578947,5.089877394999999,5.082045,4.5618415,5.6261072500000004,4.8413092,5.3476615999999995
theory_mu,0.3078947368421053,4.8573498975,4.846209999999999,4.280263,5.4483120000000005,4.588806,5.137432
theory_mu,0.3315789473684211,4.6444552,4.630190000000001,4.0168912500000005,5.2934055,4.351522,4.94854
theory_mu,0.35526315789473684,4.448435497499999,4.436920000000001,3.7616735,5.15445725,4.1311352,4.7771539999999995
theory_mu,0.37894736842105264,4.267063969999999,4.25281,3.52483925,5.019589000000001,3.9271396000000003,4.622292
theory_mu,0.40263157894736845,4.098521570000001,4.0836749999999995,3.3092527499999997,4.8987025,3.7391712,4.4739352
theory_mu,0.4263157894736842,3.94130515,3.92545,3.117117,4.785415,3.5628051999999997,4.3384288
theory_mu,0.45,3.7941597725,3.7763150000000003,2.9322749999999997,4.6837115,3.3940412,4.211215999999999
theory_ppc,0.0,13.7155792875,13.6214,10.7674775,17.26056,12.168252,15.274415999999999
theory_ppc,0.02368421052631579,11.7158117975,11.69505,9.4017165,14.082892500000002,10.556868,12.866548
theory_ppc,0.04736842105263158,10.299676215,10.281649999999999,8.3799905,12.232485000000002,9.409214,11.22922
theory_ppc,0.07105263157894737,9.2418075625,9.241824999999999,7.59106125,10.868115000000001,8.445209199999999,10.06016
theory_ppc,0.09473684210526316,8.418860817499999,8.43867,6.905257,9.92745575,7.6731736,9.147245999999999
theory_ppc,0.11842105263157895,7.734664262500001,7.737505,6.28829975,9.13884275,7.051702000000001,8.4171416
theory_ppc,0.14210526315789473,7.18436336,7.188615,5.8016435,8.5888405,6.529576400000001,7.8539392
theory_ppc,0.16578947368421054,6.7005732075,6.70728,5.3848945,7.9980005,6.0737344,7.3450652
theory_ppc,0.18947368421052632,6.314435487500001,6.312825,5.00590725,7.614871,5.691363999999999,6.9580839999999995
theory_ppc,0.2131578947368421,5.935145715000001,5.9473400000000005,4.629704,7.151619000000001,5.3006596,6.5543324
theory_ppc,0.2368421052631579,5.622629975,5.631815,4.255934,6.92449,4.993906,6.2584892
theory_ppc,0.2605263157894737,5.349567262500001,5.34313,4.08076675,6.6653925,4.7286432,5.983393599999999
theory_ppc,0.28421052631578947,5.0921856275,5.09593,3.73564025,6.441778,4.4325456,5.744866
theory_ppc,0.3078947368421053,4.855527615000001,4.850865000000001,3.4571855,6.224177,4.1927952,5.520162
theory_ppc,0.3315789473684211,4.6533800625,4.643079999999999,3.28156925,6.075157,3.9785808,5.3551688
theory_ppc,0.35526315789473684,4.4598580375,4.465065,3.0006947499999996,5.888929750000001,3.7776368000000002,5.1459572
theory_ppc,0.37894736842105264,4.257090495000001,4.24491,2.81560525,5.7060052500000005,3.5527932,4.9661224
theory_ppc,0.40263157894736845,4.0996563974999995,4.091205,2.6370167500000004,5.629282,3.3787415999999997,4.8058708
theory_ppc,0.4263157894736842,3.932385306,3.941915,2.3645435,5.47838075,3.2018092,4.6789808
theory_ppc,0.45,3.8034355935,3.81104,2.2963805,5.284702750000001,3.0584484,4.5451868
