quantity,growth_rate_hr,mean,median,sig2_lower,sig2_upper,sig1_lower,sig1_upper
volume_ppc,0.9183673469387755,0.8917925700000001,0.864185,0.55473425,1.39636775,0.7029048,1.0725031999999999
volume_ppc,0.9693877551020409,0.9261628387499999,0.9043265,0.57541445,1.384174,0.7355737999999999,1.1146072
volume_ppc,1.0204081632653061,0.9572442687499999,0.933454,0.582545625,1.4722337500000002,0.76441028,1.1427692
volume_ppc,1.0714285714285714,0.9962286220000001,0.972384,0.6097397,1.5380292500000003,0.7827428,1.2015647999999999
volume_ppc,1.1224489795918369,1.0301281127500002,1.00762,0.61946815,1.5689195,0.81445136,1.2369232000000001
volume_ppc,1.1734693877551021,1.08092975025,1.05851,0.668279025,1.6428005,0.85178576,1.3018964
volume_ppc,1.2244897959183674,1.11483177075,1.09148,0.668275,1.7134327500000002,0.87303132,1.3404508
volume_ppc,1.2755102040816326,1.150380602,1.12974,0.6863875,1.72214475,0.91054604,1.381188
volume_ppc,1.3265306122448979,1.2068059545,1.18127,0.73402255,1.8366070000000003,0.9503423599999999,1.4459452
volume_ppc,1.3775510204081634,1.2390519635000001,1.2154699999999998,0.7451698499999999,1.8809317500000002,0.97762916,1.492998
volume_ppc,1.4285714285714286,1.2824689655,1.258395,0.75644055,1.9279500000000003,0.99932988,1.5582463999999998
volume_ppc,1.4795918367346939,1.3396911332499999,1.3152750000000002,0.8005923,2.04238,1.0484719999999998,1.6114424
volume_ppc,1.5306122448979593,1.38414062925,1.360445,0.8101225,2.12165275,1.0830168,1.6694015999999998
volume_ppc,1.5816326530612246,1.43526479425,1.41018,0.864077625,2.1828007499999997,1.1165064,1.7479727999999999
volume_ppc,1.6326530612244898,1.4875346680000003,1.453885,0.8830455,2.239423,1.1715423999999999,1.8130751999999999
volume_ppc,1.683673469387755,1.5480357470000001,1.526975,0.90278665,2.36264425,1.210852,1.8800607999999999
volume_ppc,1.7346938775510203,1.6040040557500002,1.576,0.9283666,2.4453607500000003,1.2461752000000001,1.9409592
volume_ppc,1.7857142857142858,1.66703379625,1.63491,0.96450505,2.537472500000001,1.3108043999999999,2.0177927999999996
volume_ppc,1.836734693877551,1.715678931,1.689215,1.006764,2.588276,1.3314796,2.0969392
volume_ppc,1.8877551020408163,1.7958720715,1.77569,1.017006,2.757530000000001,1.3865904,2.1946008000000004
volume_ppc,1.9387755102040818,1.869246897,1.8388900000000001,1.0603845,2.8555290000000007,1.4347384,2.2790904
volume_ppc,1.989795918367347,1.93520540225,1.89955,1.123117,2.9398782500000005,1.4917904,2.3646308
volume_ppc,2.0408163265306123,1.9912466125000001,1.957025,1.168461,2.996763000000001,1.5345412,2.4445303999999997
volume_ppc,2.0918367346938775,2.08130213475,2.047105,1.14984075,3.23601975,1.5759116000000002,2.583068
volume_ppc,2.142857142857143,2.1408441242500005,2.119555,1.2101135,3.2458762500000002,1.6341536,2.631294
volume_ppc,2.193877551020408,2.2377481712500003,2.196265,1.265673,3.4323890000000006,1.7086968,2.7585243999999998
volume_ppc,2.2448979591836737,2.3215831405,2.28202,1.294275,3.6210505000000004,1.7463052000000001,2.8893556
volume_ppc,2.295918367346939,2.4111943135000002,2.371415,1.3192087499999998,3.6909825,1.8234072000000001,2.9796076
volume_ppc,2.3469387755102042,2.5129606652499996,2.46937,1.3888894999999999,3.8680600000000003,1.8930803999999999,3.1039776
volume_ppc,2.3979591836734695,2.5871416712500004,2.53937,1.36640775,4.074954,1.9340131999999999,3.2263699999999997
volume_ppc,2.4489795918367347,2.6901101865,2.643915,1.43447,4.208155500000001,2.0165164,3.3437816000000002
volume_ppc,2.5,2.787464448,2.73491,1.4719425,4.33475475,2.0817516,3.4973592
protein_per_cell_ppc,0.0,139.36841417500003,135.707,74.23657,227.04765000000003,102.9668,174.15316
protein_per_cell_ppc,0.05102040816326531,143.875137275,140.752,78.06144499999999,227.642975,107.30756,180.72116
protein_per_cell_ppc,0.10204081632653061,149.393251725,146.04149999999998,81.48088750000001,240.9717,109.94492,186.59724
protein_per_cell_ppc,0.15306122448979592,155.4204804,151.2195,86.4596725,252.07875000000004,115.6864,193.33648000000002
protein_per_cell_ppc,0.20408163265306123,160.65334055000002,156.582,88.5628025,256.89505,119.02324,199.72748
