strain,overexpression,inducer_conc,carbon_source,quantity,mean_value,median_value,2.5%,97.5%,unit
wildtype,none,0,acetate,aspect_ratio,3.0678275375000004,3.068295,2.9116055,3.2147685,dimensionless
wildtype,none,0,sorbitol,aspect_ratio,3.20479981,3.204555,2.9717024999999997,3.437131,dimensionless
wildtype,none,0,glycerol,aspect_ratio,3.32229066,3.325195,3.074325,3.562793,dimensionless
wildtype,none,0,glucose,aspect_ratio,3.4112564225,3.411175,3.3126375,3.50632125,dimensionless
wildtype,none,0,glucoseCAA,aspect_ratio,3.2268702225,3.22957,3.01662375,3.4249270000000003,dimensionless
wildtype,none,0,LB,aspect_ratio,3.71214084,3.7137849999999997,3.4883954999999998,3.9311465,dimensionless
wildtype,none,0,acetate,surface_to_volume,6.364514246318608,6.35772,5.835839,6.922593,um^-1
wildtype,none,0,sorbitol,surface_to_volume,6.73193269879518,6.68632,5.5309685,8.158459,um^-1
wildtype,none,0,glycerol,surface_to_volume,6.137484165997322,5.82525,3.649951,10.506575,um^-1
wildtype,none,0,glucose,surface_to_volume,5.675926961178046,5.67497,5.130774000000001,6.2471845,um^-1
wildtype,none,0,glucoseCAA,surface_to_volume,5.371561373493977,5.35639,4.350961,6.527984000000001,um^-1
wildtype,none,0,LB,surface_to_volume,4.276118069611781,4.25571,3.5531485000000003,5.143649,um^-1
wildtype,none,0,acetate,m_peri,20.645734725568943,20.5132,16.478945,25.401220000000002,fg/cell
wildtype,none,0,sorbitol,m_peri,17.0732365729585,16.9577,14.045395000000001,20.564085,fg/cell
wildtype,none,0,glycerol,m_peri,13.180919044176706,13.0459,10.25994,16.941345000000002,fg/cell
wildtype,none,0,glucose,m_peri,16.629091807228914,16.5948,13.976435,19.511265,fg/cell
wildtype,none,0,glucoseCAA,m_peri,13.986070725568942,13.9261,10.613525000000001,17.42566,fg/cell
wildtype,none,0,acetate,rho_peri,180.03208808567604,178.676,143.83405,222.79165,fg/fL
wildtype,none,0,sorbitol,rho_peri,163.14307290495313,162.257,131.53805,199.8989,fg/fL
wildtype,none,0,glycerol,rho_peri,107.81334401606426,105.133,75.777885,159.9929,fg/fL
wildtype,none,0,glucose,rho_peri,107.49723598393574,107.153,89.13751,127.25155,fg/fL
wildtype,none,0,glucoseCAA,rho_peri,85.30498235609103,84.5166,63.67345,109.59545,fg/fL
wildtype,none,0,acetate,phi_peri,0.09718885732262383,0.096974,0.07917189,0.11484295,dimensionless
wildtype,none,0,sorbitol,phi_peri,0.07529756642570282,0.07525,0.06530081,0.08506565,dimensionless
wildtype,none,0,glycerol,phi_peri,0.07202693261044177,0.0717758,0.0596084,0.086409645,dimensionless
wildtype,none,0,glucose,phi_peri,0.053171891700133866,0.0531695,0.046361115,0.059957060000000006,dimensionless
wildtype,none,0,glucoseCAA,phi_peri,0.036473975933065596,0.0364928,0.028089839999999998,0.044995400000000005,dimensionless
wildtype,none,0,acetate,phi_mem,0.08719665820615796,0.0871814,0.07731362,0.09702114,dimensionless
wildtype,none,0,sorbitol,phi_mem,0.07353886966532798,0.0735775,0.059031175,0.08724886500000001,dimensionless
wildtype,none,0,glycerol,phi_mem,0.08281295574297189,0.0828406,0.06931936,0.09623893,dimensionless
wildtype,none,0,glucose,phi_mem,0.05852866187416332,0.0585097,0.042561135,0.07388368000000001,dimensionless
wildtype,none,0,glucoseCAA,phi_mem,0.05953009231593039,0.0596548,0.047554855,0.07066752000000001,dimensionless
wildtype,none,0,LB,phi_mem,0.09727956613119143,0.0971355,0.08514256499999999,0.10979265,dimensionless
wildtype,none,0,acetate,rho_mem,1.986739801874163,1.97702,1.6751475,2.3608379999999998,fg/um^2
wildtype,none,0,sorbitol,rho_mem,1.9598040107095045,1.94881,1.496143,2.486662,fg/um^2
wildtype,none,0,glycerol,rho_mem,1.5236213105756358,1.48868,1.0872075,2.1715120000000003,fg/um^2
wildtype,none,0,glucose,rho_mem,1.4551012425702812,1.45103,1.039242,1.8775075,fg/um^2
wildtype,none,0,glucoseCAA,rho_mem,1.7123822864792504,1.70477,1.3114455,2.1688310000000004,fg/um^2
wildtype,none,0,LB,rho_mem,1.967433528781794,1.94957,1.5350685000000002,2.5677415000000003,fg/um^2
wildtype,none,0,acetate,phi_Rb,0.09331740519410978,0.0933108,0.08952096999999999,0.09720266500000001,dimensionless
wildtype,none,0,sorbitol,phi_Rb,0.09648474431057565,0.0965469,0.08994353,0.1031747,dimensionless
wildtype,none,0,glycerol,phi_Rb,0.12578536680053548,0.125766,0.11866465,0.1329686,dimensionless
wildtype,none,0,glucose,phi_Rb,0.13325182730923693,0.133185,0.1263387,0.14016125000000001,dimensionless
wildtype,none,0,glucoseCAA,phi_Rb,0.15921661231593037,0.159203,0.15396255,0.16481,dimensionless
wildtype,none,0,LB,phi_Rb,0.2850843919678715,0.285025,0.2771323,0.29338295,dimensionless
