lower,upper,quantity,interval,strain,carbon_source,overexpression,inducer_conc
0.695198,0.765623375,width_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,100.0
0.7225065,0.74006525,width_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,100.0
0.731118,0.731118,width_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,100.0
0.6775989,0.8946235999999997,width_mu,95%,malE-rbsB-fliC-KO,glucose,none,0.0
0.7209570000000001,0.85369425,width_mu,75%,malE-rbsB-fliC-KO,glucose,none,0.0
0.771402,0.8057471249999999,width_mu,25%,malE-rbsB-fliC-KO,glucose,none,0.0
0.788538,0.788538,width_mu,median,malE-rbsB-fliC-KO,glucose,none,0.0
0.95811965,1.001671,width_mu,95%,wildtype,LB,none,0.0
0.96579175,0.994433,width_mu,75%,wildtype,LB,none,0.0
0.9762086249999999,0.983885875,width_mu,25%,wildtype,LB,none,0.0
0.9800745,0.9800745,width_mu,median,wildtype,LB,none,0.0
0.6843749499999999,0.7234221,width_mu,95%,wildtype,acetate,none,0.0
0.6909625,0.716972,width_mu,75%,wildtype,acetate,none,0.0
0.7006775000000001,0.7076131250000001,width_mu,25%,wildtype,acetate,none,0.0
0.704062,0.704062,width_mu,median,wildtype,acetate,none,0.0
0.8020629499999999,0.9067493999999999,width_mu,95%,wildtype,glucose,lacZ,10.0
0.822103375,0.8857145000000001,width_mu,75%,wildtype,glucose,lacZ,10.0
0.845748625,0.861900125,width_mu,25%,wildtype,glucose,lacZ,10.0
0.853607,0.853607,width_mu,median,wildtype,glucose,lacZ,10.0
0.8252478,0.8750546499999999,width_mu,95%,wildtype,glucose,lacZ,20.0
0.83477225,0.865193,width_mu,75%,wildtype,glucose,lacZ,20.0
0.8462369999999999,0.853892875,width_mu,25%,wildtype,glucose,lacZ,20.0
0.8500065,0.8500065,width_mu,median,wildtype,glucose,lacZ,20.0
0.75645265,0.94249125,width_mu,95%,wildtype,glucose,lacZ,50.0
0.810102125,0.897730125,width_mu,75%,wildtype,glucose,lacZ,50.0
0.8493895,0.86562825,width_mu,25%,wildtype,glucose,lacZ,50.0
0.8579479999999999,0.8579479999999999,width_mu,median,wildtype,glucose,lacZ,50.0
0.74555585,0.78551155,width_mu,95%,wildtype,glucose,none,0.0
0.7518985,0.779282375,width_mu,75%,wildtype,glucose,none,0.0
0.761805,0.769099375,width_mu,25%,wildtype,glucose,none,0.0
0.7654715,0.7654715,width_mu,median,wildtype,glucose,none,0.0
0.7822671,0.8610538499999999,width_mu,95%,wildtype,glucoseCAA,none,0.0
0.80039975,0.842867875,width_mu,75%,wildtype,glucoseCAA,none,0.0
0.817450625,0.82660075,width_mu,25%,wildtype,glucoseCAA,none,0.0
0.821934,0.821934,width_mu,median,wildtype,glucoseCAA,none,0.0
0.6256301000000001,0.79887435,width_mu,95%,wildtype,glycerol,none,0.0
0.658399,0.76572075,width_mu,75%,wildtype,glycerol,none,0.0
0.6996405,0.726178875,width_mu,25%,wildtype,glycerol,none,0.0
0.712757,0.712757,width_mu,median,wildtype,glycerol,none,0.0
0.62767655,0.70758135,width_mu,95%,wildtype,sorbitol,none,0.0
0.642516875,0.69341925,width_mu,75%,wildtype,sorbitol,none,0.0
0.6610575,0.6740151249999999,width_mu,25%,wildtype,sorbitol,none,0.0
0.6675895000000001,0.6675895000000001,width_mu,median,wildtype,sorbitol,none,0.0
2.035309,2.269616,length_mu,95%,malE-rbsB-fliC-KO,acetate,malE,10.0
2.09094,2.220385,length_mu,75%,malE-rbsB-fliC-KO,acetate,malE,10.0
2.14046,2.17028125,length_mu,25%,malE-rbsB-fliC-KO,acetate,malE,10.0
2.15581,2.15581,length_mu,median,malE-rbsB-fliC-KO,acetate,malE,10.0
2.0015680000000002,2.1821604999999997,length_mu,95%,malE-rbsB-fliC-KO,acetate,malE,50.0
2.03341625,2.14826375,length_mu,75%,malE-rbsB-fliC-KO,acetate,malE,50.0
2.0762,2.10591375,length_mu,25%,malE-rbsB-fliC-KO,acetate,malE,50.0
2.0911350000000004,2.0911350000000004,length_mu,median,malE-rbsB-fliC-KO,acetate,malE,50.0
2.062589,2.2496815,length_mu,95%,malE-rbsB-fliC-KO,acetate,malE,100.0
2.11175,2.2114262499999997,length_mu,75%,malE-rbsB-fliC-KO,acetate,malE,100.0
2.15255,2.1758825,length_mu,25%,malE-rbsB-fliC-KO,acetate,malE,100.0
2.1640699999999997,2.1640699999999997,length_mu,median,malE-rbsB-fliC-KO,acetate,malE,100.0
2.002075,2.3984525,length_mu,95%,malE-rbsB-fliC-KO,acetate,none,0.0
2.09579875,2.31792375,length_mu,75%,malE-rbsB-fliC-KO,acetate,none,0.0
2.1814962500000004,2.2362937499999997,length_mu,25%,malE-rbsB-fliC-KO,acetate,none,0.0
2.209505,2.209505,length_mu,median,malE-rbsB-fliC-KO,acetate,none,0.0
1.961894,2.3003619999999994,length_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,10.0
2.03261125,2.2311549999999998,length_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,10.0
2.1106462500000003,2.1573237499999998,length_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,10.0
2.13347,2.13347,length_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,10.0
1.999081,2.2173540000000003,length_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,50.0
2.040895,2.17329125,length_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,50.0
2.091,2.1235775,length_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,50.0
2.10802,2.10802,length_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,50.0
2.0171194999999997,2.280111,length_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,100.0
2.06975125,2.2277925,length_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,100.0
2.1318325,2.17041125,length_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,100.0
2.150865,2.150865,length_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,100.0
2.3988285,2.5786819999999997,length_mu,95%,malE-rbsB-fliC-KO,glucose,none,0.0
2.43529875,2.54550125,length_mu,75%,malE-rbsB-fliC-KO,glucose,none,0.0
2.47626625,2.5027175,length_mu,25%,malE-rbsB-fliC-KO,glucose,none,0.0
2.489625,2.489625,length_mu,median,malE-rbsB-fliC-KO,glucose,none,0.0
3.2880815,3.9623064999999995,length_mu,95%,wildtype,LB,none,0.0
3.40206875,3.8600862499999997,length_mu,75%,wildtype,LB,none,0.0
3.5769562500000003,3.6940625,length_mu,25%,wildtype,LB,none,0.0
3.63531,3.63531,length_mu,median,wildtype,LB,none,0.0
2.0558989999999997,2.2133410000000002,length_mu,95%,wildtype,acetate,none,0.0
2.08093,2.1854375,length_mu,75%,wildtype,acetate,none,0.0
2.1193325,2.1466675,length_mu,25%,wildtype,acetate,none,0.0
2.1332750000000003,2.1332750000000003,length_mu,median,wildtype,acetate,none,0.0
2.7685394999999997,3.0383825,length_mu,95%,wildtype,glucose,lacZ,10.0
2.8205037500000003,2.98939,length_mu,75%,wildtype,glucose,lacZ,10.0
2.8856662500000003,2.92750375,length_mu,25%,wildtype,glucose,lacZ,10.0
2.9070650000000002,2.9070650000000002,length_mu,median,wildtype,glucose,lacZ,10.0
2.6057245,3.1675604999999996,length_mu,95%,wildtype,glucose,lacZ,20.0
2.72876875,3.07501625,length_mu,75%,wildtype,glucose,lacZ,20.0
2.86325625,2.94961625,length_mu,25%,wildtype,glucose,lacZ,20.0
2.9083300000000003,2.9083300000000003,length_mu,median,wildtype,glucose,lacZ,20.0
2.3740915,2.9181624999999998,length_mu,95%,wildtype,glucose,lacZ,50.0
2.5322362500000004,2.813995,length_mu,75%,wildtype,glucose,lacZ,50.0
2.6619325,2.71704,length_mu,25%,wildtype,glucose,lacZ,50.0
2.6907550000000002,2.6907550000000002,length_mu,median,wildtype,glucose,lacZ,50.0
2.4556394999999998,2.6100209999999997,length_mu,95%,wildtype,glucose,none,0.0
2.48314,2.58759125,length_mu,75%,wildtype,glucose,none,0.0
2.52155625,2.54907125,length_mu,25%,wildtype,glucose,none,0.0
2.535565,2.535565,length_mu,median,wildtype,glucose,none,0.0
2.3282830000000003,2.910868,length_mu,95%,wildtype,glucoseCAA,none,0.0
2.46293375,2.79428125,length_mu,75%,wildtype,glucoseCAA,none,0.0
2.59527,2.675075,length_mu,25%,wildtype,glucoseCAA,none,0.0
2.6363849999999998,2.6363849999999998,length_mu,median,wildtype,glucoseCAA,none,0.0
1.903559,2.693608,length_mu,95%,wildtype,glycerol,none,0.0
2.06662,2.56018625,length_mu,75%,wildtype,glycerol,none,0.0
2.26581125,2.3912225,length_mu,25%,wildtype,glycerol,none,0.0
2.33033,2.33033,length_mu,median,wildtype,glycerol,none,0.0
1.932277,2.23047,length_mu,95%,wildtype,sorbitol,none,0.0
1.98583375,2.17880625,length_mu,75%,wildtype,sorbitol,none,0.0
2.06012,2.10918,length_mu,25%,wildtype,sorbitol,none,0.0
2.0849849999999996,2.0849849999999996,length_mu,median,wildtype,sorbitol,none,0.0
0.6653587,0.9639463499999998,volume_mu,95%,malE-rbsB-fliC-KO,acetate,malE,10.0
0.729994,0.898189375,volume_mu,75%,malE-rbsB-fliC-KO,acetate,malE,10.0
0.795337,0.83411925,volume_mu,25%,malE-rbsB-fliC-KO,acetate,malE,10.0
0.8140105,0.8140105,volume_mu,median,malE-rbsB-fliC-KO,acetate,malE,10.0
0.7168672,0.8190365000000001,volume_mu,95%,malE-rbsB-fliC-KO,acetate,malE,50.0
0.7360325000000001,0.799731375,volume_mu,75%,malE-rbsB-fliC-KO,acetate,malE,50.0
0.7596863749999999,0.7762901249999999,volume_mu,25%,malE-rbsB-fliC-KO,acetate,malE,50.0
0.7677905,0.7677905,volume_mu,median,malE-rbsB-fliC-KO,acetate,malE,50.0
0.6110234999999999,0.9011511999999999,volume_mu,95%,malE-rbsB-fliC-KO,acetate,malE,100.0
0.677547,0.845511125,volume_mu,75%,malE-rbsB-fliC-KO,acetate,malE,100.0
0.7458995,0.7849825,volume_mu,25%,malE-rbsB-fliC-KO,acetate,malE,100.0
0.7652935000000001,0.7652935000000001,volume_mu,median,malE-rbsB-fliC-KO,acetate,malE,100.0
0.7144188,1.053692,volume_mu,95%,malE-rbsB-fliC-KO,acetate,none,0.0
0.7834975,0.98426925,volume_mu,75%,malE-rbsB-fliC-KO,acetate,none,0.0
0.860630875,0.907959375,volume_mu,25%,malE-rbsB-fliC-KO,acetate,none,0.0
0.8843289999999999,0.8843289999999999,volume_mu,median,malE-rbsB-fliC-KO,acetate,none,0.0
0.65753345,1.023121,volume_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,10.0
0.734637,0.95121025,volume_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,10.0
0.81711025,0.867167875,volume_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,10.0
0.8426425,0.8426425,volume_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,10.0
0.7063597,0.9335901,volume_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,50.0
0.748484875,0.8880125,volume_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,50.0
