value,kde,parameter
1.2092295999999998,0.0025894064059983775,k
1.2158014999999998,0.002570324510836702,k
1.2223734,0.002551506223009427,k
1.2289453,0.0025329631100631804,k
1.2355171999999999,0.002514704091612457,k
1.2420890999999998,0.0024967351048980134,k
1.2486609999999998,0.00247905884699584,k
1.2552328999999998,0.002461674601213591,k
1.2618048,0.0024445781528273994,k
1.2683767,0.0024277617967495405,k
1.2749485999999999,0.0024112144370560936,k
1.2815204999999998,0.002394921775622318,k
1.2880923999999998,0.002378866584496301,k
1.2946642999999998,0.0023630290541712985,k
1.3012362,0.0023473872076713274,k
1.3078081,0.00233191736841785,k
1.3143799999999999,0.002316594668259538,k
1.3209518999999998,0.0023013935808784223,k
1.3275237999999998,0.0022862884650731983,k
1.3340956999999998,0.002271254102192037,k
1.3406676,0.0022562662122561725,k
1.3472395,0.002241301934075075,k
1.3538113999999999,0.0022263402558876503,k
1.3603832999999999,0.0022113623847327193,k
1.3669551999999998,0.002196352044806947,k
1.3735270999999998,0.0021812956974431945,k
1.3800989999999997,0.002166182677960665,k
1.3866709,0.0021510052474124314,k
1.3932428,0.0021357585600927536,k
1.3998146999999999,0.002120440550467505,k
1.4063865999999998,0.0021050517458579224,k
1.4129584999999998,0.0020895950136447104,k
1.4195303999999997,0.0020740752538791173,k
1.4261023,0.0020584990499090327,k
1.4326742,0.002042874290889221,k
1.4392460999999999,0.002027209780793847,k
1.4458179999999998,0.0020115148487591353,k
1.4523898999999998,0.001995798975241158,k
1.4589617999999998,0.001980071447591675,k
1.4655337,0.0019643410572635868,k
1.4721056,0.0019486158490091597,k
1.4786774999999999,0.0019329029301980985,k
1.4852493999999998,0.0019172083458444554,k
1.4918212999999998,0.0019015370221890165,k
1.4983931999999998,0.0018858927788434094,k
1.5049651,0.0018702784066745824,k
1.511537,0.0018546958059046266,k
1.5181088999999999,0.0018391461764268654,k
1.5246807999999998,0.001823630250191956,k
1.5312526999999998,0.0018081485537825345,k
1.5378245999999998,0.0017927016880389353,k
1.5443964999999997,0.0017772906108710102,k
1.5509684,0.0017619169092203811,k
1.5575402999999999,0.0017465830465284342,k
1.5641121999999998,0.0017312925730022521,k
1.5706840999999998,0.001716050287415,k
1.5772559999999998,0.001700862341071243,k
1.5838278999999997,0.001685736276836367,k
1.5903998,0.0016706809986832998,k
1.5969716999999999,0.001655706669949734,k
1.6035435999999998,0.0016408245413195332,k
1.6101154999999998,0.001626046712335474,k
1.6166873999999998,0.0016113858329116634,k
1.6232592999999997,0.0015968547537447433,k
1.6298312,0.0015824661366350666,k
1.6364030999999999,0.0015682320374468355,k
1.6429749999999999,0.0015541634757020612,k
1.6495468999999998,0.0015402700055741746,k
1.6561187999999998,0.0015265593033021412,k
1.6626906999999997,0.001513036785780233,k
1.6692626,0.0014997052743072334,k
1.6758345,0.0014865647162337525,k
1.6824063999999999,0.0014736119755742838,k
1.6889782999999998,0.001460840701612442,k
1.6955501999999998,0.0014482412821938192,k
1.7021220999999997,0.0014358008858496732,k
1.7086939999999997,0.0014235035942097084,k
1.7152659,0.0014113306234282317,k
1.7218377999999999,0.0013992606306497846,k
1.7284096999999998,0.0013872700989587571,k
1.7349815999999998,0.00137533379186838,k
1.7415534999999998,0.0013634252662758281,k
