lower,upper,quantity,interval,strain,carbon_source,overexpression,inducer,inducer_conc,temperature
0.36880412500000004,0.516379375,growth_mu,75%,malE-rbsB-fliC-KO,acetate,malE,ctc,10.0,37.0
0.41254687500000004,0.447583375,growth_mu,25%,malE-rbsB-fliC-KO,acetate,malE,ctc,10.0,37.0
0.4291475,0.4291475,growth_mu,median,malE-rbsB-fliC-KO,acetate,malE,ctc,10.0,37.0
0.29010935,0.4656494999999999,growth_mu,95%,lpp14,sorbitol,none,none,0.0,37.0
0.31158425,0.416060625,growth_mu,75%,lpp14,sorbitol,none,none,0.0,37.0
0.344301375,0.3691395,growth_mu,25%,lpp14,sorbitol,none,none,0.0,37.0
0.356548,0.356548,growth_mu,median,lpp14,sorbitol,none,none,0.0,37.0
0.6305222500000001,0.70554235,growth_mu,95%,lpp14,glycerol,none,none,0.0,37.0
0.647316875,0.6872205,growth_mu,75%,lpp14,glycerol,none,none,0.0,37.0
0.662409125,0.6715761250000001,growth_mu,25%,lpp14,glycerol,none,none,0.0,37.0
0.6671119999999999,0.6671119999999999,growth_mu,median,lpp14,glycerol,none,none,0.0,37.0
0.6066854500000001,0.8296337499999998,growth_mu,95%,lpp14,glucose,none,none,0.0,37.0
0.65245125,0.757531625,growth_mu,75%,lpp14,glucose,none,none,0.0,37.0
0.693212875,0.713214125,growth_mu,25%,lpp14,glucose,none,none,0.0,37.0
0.703075,0.703075,growth_mu,median,lpp14,glucose,none,none,0.0,37.0
0.39292005,0.4074267,growth_mu,95%,lpp14,acetate,none,none,0.0,37.0
0.397352,0.402937,growth_mu,75%,lpp14,acetate,none,none,0.0,37.0
0.399624125,0.400561375,growth_mu,25%,lpp14,acetate,none,none,0.0,37.0
0.40009,0.40009,growth_mu,median,lpp14,acetate,none,none,0.0,37.0
1.6875425,2.1876249999999997,growth_mu,95%,wildtype,LB,none,none,0.0,37.0
1.7847125000000001,2.085625,growth_mu,75%,wildtype,LB,none,none,0.0,37.0
1.89399875,1.9658387499999999,growth_mu,25%,wildtype,LB,none,none,0.0,37.0
1.92931,1.92931,growth_mu,median,wildtype,LB,none,none,0.0,37.0
