dataset_name,growth_rate_hr,length,width,cell_volume_fL,envelope_volume_fL,drymass_fg,total_protein_mass_fg,periplasmic_protein_mass_fg,periplasmic_protein_density_fg_fL
Peebo et al. 2015,0.42,2.545534571402028,0.707010853819493,0.8242907346626244,0.11807743826800343,412.1453673313122,288.5017571319185,22.483120871177956,190.40996485837906
Peebo et al. 2015,0.45,2.5717308537565025,0.7121926918485484,0.8503438099578995,0.12024866725999028,425.1719049789497,297.6203334852648,20.071620621309144,166.9176139633397
Peebo et al. 2015,0.46,2.580655583078345,0.7139283972275506,0.8592098888064463,0.12098835494832139,429.60494440322316,300.72346108225616,12.95045508171329,107.03885582414034
Peebo et al. 2015,0.51,2.626772243773591,0.722670582753277,0.9049463389887227,0.12481119055392587,452.47316949436134,316.7312186460529,11.98611645253825,96.03398861386178
Peebo et al. 2015,0.53,2.645936273709226,0.7261973578245399,0.9239154970097017,0.12640044811481643,461.9577485048508,323.3704239533956,18.85539040079075,149.17186356541526
Peebo et al. 2015,0.55,2.665523853603159,0.7297413442542007,0.9432822796637907,0.12802543894061302,471.6411398318954,330.14879788232673,18.011387996772736,140.68600854497092
Peebo et al. 2015,0.63,2.7483000237401285,0.7440910896140202,1.0248949966239704,0.13490217936696236,512.4474983119852,358.7132488183896,22.18823177840986,164.47645162242483
Peebo et al. 2015,0.65,2.7701499754943892,0.7477224009863491,1.0463784750450185,0.13672065460653482,523.1892375225092,366.2324662657564,19.579152117177404,143.20551765586399
Peebo et al. 2015,0.73,2.8624868202546487,0.762425728594781,1.1369110676296175,0.14442442644508757,568.4555338148087,397.9188736703661,31.413682502854048,217.50948420624692
Peebo et al. 2015,0.74,2.874607032284751,0.7642838583584785,1.1487650295816527,0.1454381547814474,574.3825147908263,402.0677603535784,20.01064441579705,137.5886846602765
Peebo et al. 2015,0.78,2.9244346429303514,0.7717617729303844,1.197429780325712,0.14961248001044458,598.7148901628559,419.1004231139991,17.091778949798258,114.24032907284916
Peebo et al. 2015,0.82,2.9764891025969753,0.779312852996672,1.248156099714356,0.1539856257399379,624.0780498571779,436.8546349000245,7.83196884830717,50.861687970371776
Schmidt et al. 2016,0.12,2.3258299581388746,0.6572215003556988,0.6038638816357405,0.09978354281702617,301.9319408178702,211.35235857250913,16.272271696412552,163.07570604354206
Schmidt et al. 2016,0.2,2.37756509619565,0.6701452044179119,0.6561101425026135,0.10411743740015522,328.05507125130674,229.6385498759147,18.439264811302177,177.1006401207747
Schmidt et al. 2016,0.26,2.419445912632213,0.6800044860738251,0.6982404816476591,0.10760962673500585,349.12024082382953,244.38416857668065,22.859283659388275,212.42786870435316
Schmidt et al. 2016,0.3,2.448931887775456,0.6866577934801786,0.7278198108610227,0.11006217883666558,363.90990543051134,254.73693380135794,14.709594237355507,133.64803779856868
Schmidt et al. 2016,0.35,2.4876493006871794,0.6950660454093652,0.7665622589575641,0.11327726318026776,383.2811294787821,268.29679063514743,20.601427297024188,181.8672760855758
Schmidt et al. 2016,0.4,2.5285415670374736,0.7035772579416003,0.8073669994815921,0.11666878358668875,403.68349974079604,282.5784498185572,17.973175250624895,154.0529925665183
Schmidt et al. 2016,0.42,2.545534571402028,0.707010853819493,0.8242907346626244,0.11807743826800343,412.1453673313122,288.5017571319185,20.46209423126038,173.29385301209732
Schmidt et al. 2016,0.44,2.562903143239298,0.7104612063229298,0.8415692190626137,0.11951702153711063,420.78460953130684,294.54922667191477,19.845347810398795,166.04620459217782
Schmidt et al. 2016,0.46,2.580655583078345,0.7139283972275506,0.8592098888064463,0.12098835494832139,429.60494440322316,300.72346108225616,18.863512123535905,155.9117993760078
Schmidt et al. 2016,0.47,2.5896783974663937,0.7156683327442629,0.868168409504076,0.12173619080059395,434.08420475203803,303.8589433264266,18.54129001827035,152.30713148106722
Schmidt et al. 2016,0.47,2.5896783974663937,0.7156683327442629,0.868168409504076,0.12173619080059395,434.08420475203803,303.8589433264266,21.450817249014467,176.20739656747836
Schmidt et al. 2016,0.5,2.617346190194929,0.7209136233402565,0.8956083114593569,0.12402967101064233,447.8041557296785,313.4629090107749,18.69556741425488,150.73463681646558
Schmidt et al. 2016,0.55,2.665523853603159,0.7297413442542007,0.9432822796637907,0.12802543894061302,471.6411398318954,330.14879788232673,19.082268205761576,149.05059778481402
Schmidt et al. 2016,0.55,2.665523853603159,0.7297413442542007,0.9432822796637907,0.12802543894061302,471.6411398318954,330.14879788232673,14.372972939275632,112.26653904262577
Schmidt et al. 2016,0.58,2.6957199132600733,0.7350897790463995,0.9730962800199124,0.13053201580412555,486.5481400099562,340.5836980069693,16.099883434520958,123.3404949378872
Schmidt et al. 2016,0.63,2.7483000237401285,0.7440910896140202,1.0248949966239704,0.13490217936696236,512.4474983119852,358.7132488183896,22.694742845338805,168.23110606393038
Schmidt et al. 2016,0.65,2.7701499754943892,0.7477224009863491,1.0463784750450185,0.13672065460653482,523.1892375225092,366.2324662657564,17.943752014620753,131.24390068392123
Schmidt et al. 2016,0.66,2.7812553818979024,0.7495446968456675,1.0572885022087732,0.13764551762817556,528.6442511043866,370.0509757730706,15.543165888417004,112.92170029396854
Schmidt et al. 2016,1.27,3.7496069829887575,0.8695274900434974,1.99058601846266,0.2206912814030837,995.29300923133,696.7051064619309,34.14404878572351,154.71408099425906
Schmidt et al. 2016,1.9,5.7215212610326285,1.013639172250131,3.826289390479368,0.4058711647597577,1913.144695239684,1339.2012866677787,44.082093992618766,108.61105153580381
Valgepea et al. 2013,0.11,2.3196753831412025,0.655623660995627,0.5976326861407614,0.09926607448643154,298.8163430703807,209.1714401492665,22.410480475213568,225.76172767138894
Valgepea et al. 2013,0.21,2.384355893999958,0.6717784346508725,0.6629510510723454,0.10468451438317028,331.4755255361727,232.03286787532087,21.77600003961674,208.01548507844618
Valgepea et al. 2013,0.31,2.456507024938931,0.688331267020863,0.7354083976832726,0.1106916268471011,367.7041988416363,257.3929391891454,22.006081005111927,198.80529026381586
Valgepea et al. 2013,0.4,2.5285415670374736,0.7035772579416003,0.8073669994815921,0.11666878358668875,403.68349974079604,282.5784498185572,21.564311092144738,184.83359840742443
Valgepea et al. 2013,0.49,2.6080226052086113,0.7191609354535066,0.8863666418623706,0.12325673899960621,443.1833209311853,310.22832465182967,21.594236800665275,175.1972101154994
