carbon_source,width,length
glycerol,0.84865105,1.7697762
glycerol,0.37823388,1.0777788
glycerol,0.5069706,2.0377758
glycerol,0.7451039,3.6164398
glycerol,0.7055643,2.9451609
glycerol,0.5021548,2.7720654
glycerol,0.6198944,2.0991247
glycerol,0.5006564,2.1186182
glycerol,0.56221795,2.1434536
glycerol,0.5112552,1.0495827
glycerol,0.67630774,2.4378443
glycerol,0.68773633,4.696046
glycerol,0.6486085,3.3824308
glycerol,0.68823725,3.2335944
glycerol,0.6473263,2.4411376
glycerol,0.6693213,2.3093424
glycerol,0.6309926,2.1777072
glycerol,0.6075074,3.8819985
glycerol,0.62583524,2.9620674
glycerol,0.6740253,1.8908387
glycerol,0.71816444,2.3561277
glycerol,0.67139184,3.249766
glycerol,0.6169833,3.1087034
glycerol,0.66741794,2.0992155
glycerol,0.6699028,2.8274312
glycerol,0.7031711,3.660078
glycerol,0.6006952,2.4393342
glycerol,0.608545,2.417504
glycerol,0.48653102,1.2718943
glycerol,0.62460613,2.3569512
glycerol,0.43836144,1.8171067
glycerol,0.6205272,2.285935
glycerol,0.6374128,4.1392274
glycerol,0.63343066,2.6491644
glycerol,0.64819473,1.9259448
glycerol,0.5257007,2.1267436
glycerol,0.5789434,2.1627638
glycerol,0.6609601,3.3474982
glycerol,0.66244084,1.9540453
glycerol,0.67600924,2.2589586
glycerol,0.6499909,2.040879
glycerol,0.6248725,1.8833693
glycerol,0.62349343,1.522419
glycerol,0.6533302,3.7076104
glycerol,0.6044464,2.1099575
glycerol,0.7118153,2.3685198
glycerol,0.6661333,2.4515376
glycerol,0.7578624,2.331787
glycerol,0.66662145,2.676573
glycerol,0.6214147,2.2164402
glycerol,0.66127694,2.5804539
glycerol,0.670509,3.9310532
glycerol,0.6601214,2.733713
glycerol,0.6555958,3.1255531
glycerol,0.5601865,2.423903
glycerol,0.7381513,1.8858551
glycerol,0.671505,2.0411522
glycerol,0.76236767,4.107869
glycerol,0.7228503,3.6831326
glycerol,0.6877241,1.8407882
glycerol,0.66506296,2.498735
glycerol,0.44958994,1.456074
glycerol,0.811526,2.6275852
glycerol,0.6753554,3.144595
glycerol,0.6615318,2.6980174
glycerol,0.5893066,3.1426258
glycerol,0.68908566,2.1761913
glycerol,0.6662139,2.7264104
glycerol,0.6543948,2.0016658
glycerol,0.59698606,2.1231935
glycerol,0.5896489,2.0022514
glycerol,0.65989995,2.1874027
glycerol,0.6078105,3.8220844
glycerol,0.6296359,3.125884
glycerol,0.71014017,3.1023989
glycerol,0.652256,3.5624206
glycerol,0.65232986,2.3415718
glycerol,0.6095344,2.586404
glycerol,0.70125896,2.2712567
glycerol,0.73210526,3.4599915
glycerol,0.62307614,3.0599375
glycerol,0.7051626,2.288296
glycerol,0.5882371,2.8372097
glycerol,0.65978885,2.8446662
glycerol,0.63639367,2.178296
glycerol,0.6839,2.6773012
glycerol,0.5870894,4.173936
glycerol,0.6384467,1.6668278
glycerol,0.642198,1.7375089
glycerol,0.7576977,1.8122833
glycerol,0.6787742,3.6708198
glycerol,0.71487755,3.825262
glycerol,0.697164,2.399382
glycerol,0.646431,2.2628078
glycerol,0.7307759,2.305772
glycerol,0.5985874,2.708057
glycerol,0.7020193,1.9033304
glycerol,0.5618841,2.0423014
glycerol,0.6709638,2.0878682
glycerol,0.71345603,3.563457
glycerol,0.797217,4.3134174
glycerol,0.6441762,2.0942607
glycerol,0.6420111,1.9269103
glycerol,0.6982264,2.013061
glycerol,0.62776065,2.20139
glycerol,0.66226125,1.9788082
glycerol,0.51572514,2.1213608
glycerol,0.6731639,1.8803908
glycerol,0.7028907,2.5776303
glycerol,0.686059,4.486918
glycerol,0.7385,2.3994489
glycerol,0.6581507,2.0447092
glycerol,0.70065886,2.4808216
glycerol,0.6828317,2.015326
glycerol,0.65937185,4.039299
glycerol,0.70577437,2.4545083
glycerol,0.6706646,2.9905398
glycerol,0.6854772,2.6554546
glycerol,0.6765763,2.0107415
glycerol,0.70627797,2.2848785
glycerol,0.6962414,2.180297
glycerol,0.6347089,2.1037843
glycerol,0.6571526,3.833307
glycerol,0.64969444,2.0168478
glycerol,0.68069756,2.3929389
glycerol,0.6665961,2.4359252
glycerol,0.55416685,2.7088184
glycerol,0.5048836,1.2442409
glycerol,0.7093569,3.6921587
glycerol,0.61416626,2.1977272
glycerol,0.623789,2.3623898
glycerol,0.69976705,2.022405
glycerol,0.46241182,0.87202126
glycerol,0.5985312,1.564706
glycerol,0.60188735,2.1455944
glycerol,0.7155858,2.869315
glycerol,0.72608125,2.0672793
glycerol,0.63193864,3.0790718
glycerol,0.70130247,2.3875997
glycerol,0.660574,2.4100506
glycerol,0.72628325,3.1813211
glycerol,0.7324117,2.6337235
glycerol,0.67667836,2.2129197
glycerol,0.6741326,3.6819196
glycerol,0.64422745,2.5047696
glycerol,0.6680578,2.2172182
glycerol,0.6366497,2.5082483
glycerol,0.51583356,1.9755305
glycerol,0.6666929,1.756544
glycerol,0.6512242,2.7596626
glycerol,0.75162506,2.6640906
glycerol,0.6251358,3.2912145
glycerol,0.7122383,3.1215312
glycerol,0.77569497,2.7389734
glycerol,0.6135879,3.0111613
glycerol,0.5875676,3.2059696
glycerol,0.63059217,1.7772232
glycerol,0.69509727,2.0325277
glycerol,0.61447567,2.872026
glycerol,0.5613174,1.7545738
glycerol,0.6445884,2.763487
glycerol,0.67189586,2.782149
glycerol,0.6998913,3.1393242
glycerol,0.6281831,3.213123
glycerol,0.69199383,2.6915379
glycerol,0.6297016,3.7079911
glycerol,0.66750413,2.1916292
glycerol,0.6960201,3.1527288
glycerol,0.6630226,2.8062472
glycerol,0.6909598,2.6886847
glycerol,0.74497306,3.2281296
glycerol,0.64895004,1.9241321
glycerol,0.6779286,3.2855384
glycerol,0.6518159,2.3946788
glycerol,0.6223601,3.4057996
glycerol,0.43909502,1.1057541
glycerol,0.6624601,2.8314922
glycerol,0.59324634,2.5272455
glycerol,0.6619054,2.5520096
glycerol,0.65821797,2.3934875
glycerol,0.68027115,3.0303128
glycerol,0.6403386,2.456779
glycerol,0.7199438,4.668913
glycerol,0.5450548,2.0919616
glycerol,0.6831584,2.2518356
glycerol,0.69584334,2.2479923
glycerol,0.61697054,3.9647477
glycerol,0.6565842,2.6945112
glycerol,0.5854758,2.597387
glycerol,0.6372549,3.2096922
glycerol,0.70717984,1.9171679
glycerol,0.67717904,1.9490765
glycerol,0.6684851,3.685398
glycerol,0.64625365,2.4354873
glycerol,0.6858289,2.5400453
glycerol,0.6245167,2.1060612
glycerol,0.6933508,3.5452068
glycerol,0.7410393,3.9060757
glycerol,0.6323257,3.8014238
glycerol,0.6008163,3.089108
glycerol,0.7239504,3.6705425
glycerol,0.5898172,2.6968262
glycerol,0.6799115,3.7990923
glycerol,0.7213353,3.4045033
glycerol,0.6615324,3.6984007
glycerol,0.6849796,3.9735744
glycerol,0.66277784,3.1064062
glycerol,0.6665433,2.27051
glycerol,0.68374866,2.337202
glycerol,0.6497519,2.2299252
glycerol,0.67367095,2.6122634
glycerol,0.71365064,3.0278172
glycerol,0.68844444,2.5351562
glycerol,0.6672043,1.9169561
glycerol,0.6883542,2.6187193
glycerol,0.6628128,2.4542599
glycerol,0.68264276,2.374026
glycerol,0.68001187,2.2273834
glycerol,0.6198112,1.8679401
glycerol,0.63159823,2.247519
glycerol,0.69692564,2.754223
glycerol,0.65488875,2.5114021
glycerol,0.51498365,1.991914
glycerol,0.56215477,2.8664658
glycerol,0.62097555,3.055924
glycerol,0.6538731,3.3041701
glycerol,0.59866714,4.234597
glycerol,0.5867609,3.7596183
glycerol,0.69314206,2.0462012
glycerol,0.5032645,1.4412735
glycerol,0.85293007,4.493788
glycerol,0.62235785,3.3911805
glycerol,0.66234756,3.3154492
glycerol,0.63826,2.830322
glycerol,0.6505523,2.2636094
glycerol,0.70724905,3.1830666
glycerol,0.7458483,2.1377306
glycerol,0.73245543,3.2337055
glycerol,0.6775599,3.9115102
glycerol,0.6503579,3.1349957
glycerol,0.6929055,3.6719537
glycerol,0.6373169,2.7264874
glycerol,0.6776082,3.925328
glycerol,0.55105704,3.5108418
glycerol,0.670835,1.4615135
glycerol,0.5687944,1.8694036
glycerol,0.3969822,0.8969575
glycerol,0.4576958,1.3583583
glycerol,0.48709747,2.004104
glycerol,0.60896516,1.427365
glycerol,0.7052358,2.7435637
glycerol,0.5893896,2.03268
glycerol,0.5840985,3.745208
glycerol,0.6819546,3.3538868
glycerol,0.7198582,2.3861523
glycerol,0.67169964,3.9259684
glycerol,0.65809387,3.4685693
glycerol,0.6571001,2.6154132
glycerol,0.6747564,2.770877
glycerol,0.43616405,2.034958
glycerol,0.6384981,4.07394
glycerol,0.5175724,1.4059069
glycerol,0.66395134,2.6522698
glycerol,0.67722094,2.4138305
glycerol,0.6875238,2.316963
glycerol,0.6465654,3.2309806
glycerol,0.6498984,1.937678
glycerol,0.7099875,2.2124963
glycerol,0.62435985,3.3011072
glycerol,0.67791104,2.2062535
glycerol,0.6610379,2.1107454
glycerol,0.70146435,3.1422703
glycerol,0.69246715,3.3703601
glycerol,0.65641814,2.6896708
glycerol,0.64516115,2.2260807
glycerol,0.64871675,3.249302
glycerol,0.60642016,3.3813539
glycerol,0.58564025,3.1693218
glycerol,0.5769247,1.9380852
glycerol,0.5126464,2.012107
glycerol,0.5803825,2.7105734
glycerol,0.56563246,3.2882283
glycerol,0.7607528,3.4853761
glycerol,0.664099,2.556698
glycerol,0.622526,2.339354
glycerol,0.66970545,2.2937977
glycerol,0.607382,3.0940623
glycerol,0.6382136,2.6061003
glycerol,0.62305844,2.8999674
glycerol,0.63398546,4.165332
glycerol,0.6753268,2.649061
glycerol,0.69731075,2.998813
glycerol,0.6805739,2.5700374
glycerol,0.6955465,3.6713662
glycerol,0.6427495,3.3102083
glycerol,0.7506027,3.1870358
glycerol,0.67322993,2.9056873
glycerol,0.63120323,2.452342
glycerol,0.618373,2.3651092
glycerol,0.58290654,1.857772
glycerol,0.64585763,2.973695
glycerol,0.6563267,3.790817
glycerol,0.5936687,3.3060336
glycerol,0.705022,2.967416
glycerol,0.6024926,2.8401365
glycerol,0.6811482,2.0155058
glycerol,0.72059757,2.160277
glycerol,0.46468747,0.7309071
glycerol,0.5132192,1.8641685
glycerol,0.6822004,3.5075355
glycerol,0.6828564,2.1400928
glycerol,0.67344654,3.424299
glycerol,0.7011956,3.5537302
glycerol,0.7286995,3.4295669
glycerol,0.70779836,3.4244103
glycerol,0.767303,2.3415706
glycerol,0.64591974,2.3339345
glycerol,0.7208337,2.2341359
glycerol,0.7306907,2.4832826
glycerol,0.6429148,2.8410184
glycerol,0.63176477,2.0778105
glycerol,0.61887205,2.4408062
glycerol,0.6738836,2.1758766
glycerol,0.68823093,2.1212628
glycerol,0.7160797,2.679247
glycerol,0.7383794,3.3028953
glycerol,0.68274486,3.4766097
glycerol,0.61470413,2.9449365
glycerol,0.6542043,3.04451
glycerol,0.7965056,2.290892
glycerol,0.59412265,4.574468
glycerol,0.71392137,2.0162146
glycerol,0.60142475,1.9539888
glycerol,0.60872394,2.0388477
glycerol,0.61061174,2.1648977
glycerol,0.70928717,1.9254664
glycerol,0.6832287,2.306103
glycerol,0.6895109,3.504819
glycerol,0.49471563,0.8950422
glycerol,0.4293968,0.7195926
glycerol,0.66721255,2.7785556
glycerol,0.5640798,1.8680143
glycerol,0.6663962,1.9185712
glycerol,0.6273325,1.9536902
glycerol,0.6397534,2.3440533
glycerol,0.6900935,1.9250536
glycerol,0.46493807,0.67836523
glycerol,0.70261383,2.8556323
glycerol,0.4132387,0.6234492
acetate,0.50517243,1.7296019
acetate,0.60595304,2.994134
acetate,0.65310526,2.4012015
acetate,0.56664926,2.6282573
acetate,0.62724525,2.4648702
acetate,0.48584247,1.8500842
acetate,0.5127779,2.200464
acetate,0.68562603,2.7404945
acetate,0.6552174,1.9527705
acetate,0.48876062,0.5472636
acetate,0.7153214,2.4576137
acetate,0.5629494,2.7056444
acetate,0.6443738,1.6617057
acetate,0.5100933,1.390272
acetate,0.6164234,2.1305218
acetate,0.53976643,1.5515778
acetate,0.571575,3.287496
acetate,0.53804135,2.3243585
acetate,0.64632773,3.1398275
acetate,0.67931634,1.9781688
acetate,0.7223218,2.6618714
acetate,0.5584102,2.4404154
acetate,0.6348702,1.5700473
acetate,0.5775664,2.9331841
acetate,0.7095929,1.8692292
acetate,0.6793106,1.6182678
acetate,0.658697,1.89061
acetate,0.61121994,2.7503097
acetate,0.570176,3.313473
acetate,0.71241057,1.862037
acetate,0.54875153,1.9419852
acetate,0.6096149,2.3370085
acetate,0.6563104,2.5535474
acetate,0.2714554,0.882618
acetate,0.6690646,2.7060056
acetate,0.6131069,1.6429995
acetate,0.6349243,1.6176776
acetate,0.607697,2.5360837
acetate,0.5086886,2.9161212
acetate,0.5524188,2.6581404
acetate,0.54701126,2.2717593
acetate,0.58577275,2.9203358
acetate,0.6526249,3.3203568
acetate,0.45936832,1.5198572
acetate,0.60854924,2.7113943
acetate,0.6083512,1.865137
acetate,0.4555172,0.7559492
acetate,0.67511326,1.4769307
acetate,0.71884835,1.8223422
acetate,0.64818156,2.492716
acetate,0.7868961,3.0000403
acetate,0.6148693,1.3020316
acetate,0.7082916,1.7883732
acetate,0.72971267,2.6110523
acetate,0.7138609,1.9364994
acetate,0.6894182,2.3990066
acetate,0.7164129,2.9340057
acetate,0.507878,1.9458011
acetate,0.66464394,2.8605201
acetate,0.5992265,2.2497509
acetate,0.65873086,2.9608717
acetate,0.54357624,2.58525
acetate,0.6344031,1.7761958
acetate,0.611413,2.408611
acetate,0.6122587,2.948333
acetate,0.63394535,2.998151
acetate,0.621214,3.4215431
acetate,0.6228302,1.595392
acetate,0.6245184,1.9862919
acetate,0.66828877,1.6039195
acetate,0.6327826,2.3002908
acetate,0.6468364,1.805708
acetate,0.6935352,3.0908976
acetate,0.7415725,2.9060593
acetate,0.5973417,2.3263602
acetate,0.59614486,2.1596808
acetate,0.6847668,2.9852166
acetate,0.64920217,2.246074
acetate,0.70850515,2.7356603
acetate,0.7033902,1.8183523
acetate,0.6754152,2.0239816
acetate,0.5527812,2.5313313
acetate,0.5748756,2.9118419
acetate,0.6102184,1.9985254
acetate,0.69842434,3.9744673
acetate,0.7351104,2.2752779
acetate,0.5581822,1.7919682
acetate,0.456261,1.5577146
acetate,0.6319254,1.2303851
acetate,0.6705222,1.9467118
