,date,strain,carbon_source,overexpression,inducer_conc,od_600,od_595,dilution,culture_volume_ml,extraction_volume
31,2020-11-20,wildtype,glucose,none,0,0.41106,0.86,2,1,0.4
32,2020-11-20,wildtype,glucoseCAA,none,0,0.6903,1.003,2,1,0.4
33,2020-11-20,malE-rbsB-fliC-KO,acetate,rbsB,10,0.07254,0.726,2,3,0.4
34,2020-11-20,malE-rbsB-fliC-KO,acetate,rbsB,30,0.06006,0.798,2,3,0.4
35,2020-11-20,wildtype,acetate,none,0,0.1365,0.947,2,3,0.4
36,2020-11-20,wildtype,glucose,none,0,0.1677,0.826,2,3,0.4
37,2020-11-20,malE-rbsB-fliC-KO,acetate,none,0,0.2106,0.853,2,3,0.4
38,2020-12-01,wildtype,sorbitol,none,0,0.3042,0.86,2,1,0.4
39,2020-12-01,wildtype,glucose,none,0,0.4602,0.895,2,1,0.4
40,2020-12-01,malE-rbsB-fliC-KO,glucose,none,0,0.36114,0.854,2,1,0.4
41,2020-12-01,malE-rbsB-fliC-KO,acetate,rbsB,0,0.22854,0.745,2,1,0.4
42,2020-12-01,malE-rbsB-fliC-KO,acetate,rbsB,10,0.20358,0.845,2,1,0.4
43,2020-12-01,malE-rbsB-fliC-KO,acetate,rbsB,30,0.1794,0.857,2,1,0.4
44,2020-12-01,malE-rbsB-fliC-KO,acetate,rbsB,50,0.1482,0.801,2,1,0.4
45,2020-12-01,malE-rbsB-fliC-KO,acetate,rbsB,100,0.14274,0.778,2,1,0.4
46,2020-12-04,malE-rbsB-fliC-KO,acetate,none,0,0.4095,0.831,2,1,0.4
47,2020-12-04,malE-rbsB-fliC-KO,acetate,rbsB,10,0.32838,0.824,2,1,0.4
48,2020-12-04,malE-rbsB-fliC-KO,acetate,rbsB,30,0.31044,0.919,2,1,0.4
49,2020-12-04,malE-rbsB-fliC-KO,acetate,rbsB,50,0.37362,1.048,2,1,0.4
50,2020-12-04,malE-rbsB-fliC-KO,acetate,rbsB,100,0.2925,0.98,2,1,0.4
51,2020-12-04,malE-rbsB-fliC-KO,acetate,malE,10,0.36348,0.767,2,1,0.4
52,2020-12-04,malE-rbsB-fliC-KO,acetate,malE,30,0.40014,0.821,2,1,0.4
53,2020-12-04,malE-rbsB-fliC-KO,acetate,malE,50,0.37986,0.852,2,1,0.4
54,2020-12-04,malE-rbsB-fliC-KO,acetate,malE,100,0.34164,0.875,2,1,0.4
55,2020-12-04,malE-rbsB-fliC-KO,glucose,none,0,0.5538,0.869,2,1,0.4
56,2020-12-04,malE-rbsB-fliC-KO,glucose,malE,50,0.64428,0.948,2,1,0.4
57,2020-12-04,malE-rbsB-fliC-KO,glucose,rbsB,50,0.5148,1.022,2,1,0.4
58,2021-01-21,wildtype,glucose,none,0,0.47346,0.845,2,1,0.4
59,2021-01-22,wildtype,glucose,none,0,0.4212,0.807,2,1,0.4
60,2021-01-23,wildtype,glucose,none,0,0.4095,0.861,2,1,0.4
61,2021-01-24,wildtype,glucoseCAA,none,0,0.38376,0.744,2,1,0.4
62,2021-01-24,wildtype,glucoseCAA,rbsB,30,0.33696,0.78,2,1,0.4
63,2021-01-24,wildtype,glucoseCAA,rbsB,100,0.34242,0.834,2,1,0.4
64,2021-02-03,malE-rbsB-fliC-KO,acetate,malE,10,0.30888,0.794,2,1,0.4
65,2021-02-03,malE-rbsB-fliC-KO,acetate,malE,30,0.28002,0.779,2,1,0.4
66,2021-02-03,malE-rbsB-fliC-KO,acetate,malE,50,0.30498,0.857,2,1,0.4
67,2021-11-02,malE-rbsB-fliC-KO,acetate,malE,10,0.32136,0.776,2,1,0.4
68,2021-11-02,malE-rbsB-fliC-KO,acetate,malE,30,0.29874,0.784,2,1,0.4
69,2021-11-02,malE-rbsB-fliC-KO,acetate,malE,50,0.25038,0.801,2,1,0.4
70,2021-10-08,wildtype,acetate,none,0,0.4719,1.054,2,1,0.4
71,2021-10-08,wildtype,acetate,lacZ,50,0.15444,0.676,2,1,0.4
72,2021-10-08,malE-rbsB-fliC-KO,acetate,none,0,0.45006,0.816,2,1,0.4
73,2021-10-08,malE-rbsB-fliC-KO,acetate,none,0,0.35256,0.84,2,1,0.4
74,2021-10-08,wildtype,glucose,none,0,0.34866,0.727,2,1,0.4
75,2021-10-08,wildtype,glucose,lacZ,10,0.15054,0.617,2,1,0.4
76,2021-10-08,wildtype,glucose,lacZ,20,0.1872,0.628,2,1,0.4
77,2021-10-08,wildtype,glucose,lacZ,5,0.06396,0.613,2,1,0.4
78,2021-10-08,wildtype,glucose,lacZ,100,0.05694,0.606,2,1,0.4
79,2021-10-08,wildtype,glucose,lacZ,10,0.117,0.63,2,1,0.4
80,2021-10-08,wildtype,glucose,lacZ,20,0.1404,0.615,2,1,0.4
81,2021-09-29,wildtype,glucose,lacZ,5,0.21762,0.662,2,1,0.4
82,2021-09-29,wildtype,glucose,lacZ,10,0.09204,0.61,2,1,0.4
83,2021-09-29,wildtype,glucose,lacZ,20,0.11076,0.624,2,1,0.4
84,2022-03-10,wildtype,glucose,lacZ,5,0.34866,0.866,2,2,0.4
85,2022-03-10,wildtype,glucose,lacZ,10,0.38142,0.88,2,2,0.4
86,2022-03-10,wildtype,glucose,lacZ,20,0.2418,0.762,2,2,0.4
87,2022-03-30,wildtype,glucoseCAA,none,0,0.12714,0.841,2,3,0.4
88,2022-03-30,wildtype,sorbitol,none,0,0.2106,0.76,2,1,0.4
89,2022-03-30,malE-rbsB-fliC-KO,sorbitol,rbsB,30,0.16692,0.762,2,1,0.4
90,2022-03-30,malE-rbsB-fliC-KO,sorbitol,rbsB,100,0.23244,0.814,2,1,0.4
91,2022-03-30,wildtype,glucoseCAA,none,0,0.0624,0.614,2,1,0.4
92,2022-03-05,wildtype,sorbitol,none,0,0.096,0.664,2,1,0.4
93,2022-03-05,wildtype,glucoseCAA,none,0,0.39168,0.722,2,1,0.4
94,2022-03-06,wildtype,sorbitol,none,0,0.128,0.81,2,2,0.4
95,2022-03-06,wildtype,glucoseCAA,none,0,1.7,1.134,2,1,0.4
96,2022-03-07,wildtype,sorbitol,none,0,0.126,0.928,2,3,0.4
97,2022-03-07,wildtype,glucose,none,0,1.014,1.382,2,1,0.4
98,2022-03-08,wildtype,sorbitol,none,0,0.10296,1.07,2,5,0.4
99,2022-03-08,wildtype,glucose,none,0,0.7293,1.018,2,1,0.4
100,2022-03-11,wildtype,glucose,none,0,0.32682,0.737,2,1,0.4
101,2022-03-11,wildtype,glucoseCAA,none,0,0.46098,0.8,2,1,0.4
102,2022-03-11,wildtype,glycerol,none,0,0.3861,0.844,2,1,0.4
103,2022-03-11,wildtype,sorbitol,none,0,0.32448,0.862,2,1,0.4
104,2022-04-14,lpp14,glucose,none,0,0.4797,0.828,2,1,0.4
105,2022-04-14,lpp14,glucoseCAA,none,0,0.546,0.9,2,1,0.4
106,2022-04-14,lpp14,glycerol,none,0,0.42276,0.862,2,1,0.4
107,2022-04-14,lpp14,sorbitol,none,0,0.29406,0.833,2,1,0.4
108,2022-04-14,lpp14,glucose,none,0,0.28392,0.717,2,1,0.4
109,2022-04-14,lpp14,glycerol,none,0,0.32916,0.759,2,1,0.4
110,2022-04-14,lpp14,acetate,none,0,0.35724,0.947,2,1,0.4
111,2022-04-14,lpp14,sorbitol,none,0,0.24414,0.855,2,1,0.4
112,2022-04-01,lpp14,glucose,none,0,0.2301,0.68,2,1,0.4
113,2022-04-01,lpp14,glycerol,none,0,0.35646,0.807,2,1,0.4
114,2022-04-01,lpp14,acetate,none,0,0.34632,0.925,2,1,0.4
115,2022-04-01,lpp14,sorbitol,none,0,0.273,0.88,2,1,0.4
116,2022-06-24,lpp14,glucoseCAA,none,0,0.4095,0.805,2,1,0.4
117,2022-06-24,lpp14,glucose,none,0,0.40092,0.778,2,1,0.4
118,2022-06-24,lpp14,glycerol,none,0,0.30576,0.771,2,1,0.4
119,2022-06-24,lpp14,sorbitol,none,0,0.3237,0.905,2,1,0.4
120,2022-06-24,lpp14,acetate,none,0,0.32136,0.897,2,1,0.4
121,2022-06-24,malE-rbsB-fliC-KO,acetate,malE,10,0.30888,0.794,2,1,0.4
122,2022-06-24,malE-rbsB-fliC-KO,acetate,malE,30,0.28002,0.779,2,1,0.4
123,2022-06-24,malE-rbsB-fliC-KO,acetate,malE,50,0.30498,0.857,2,1,0.4
124,2022-07-20,lpp14,glucoseCAA,none,0,0.3549,0.772,2,1,0.4
125,2022-07-20,lpp14,glucose,none,0,0.32292,0.749,2,1,0.4
126,2022-07-20,lpp14,glycerol,none,0,0.3276,0.788,2,1,0.4
127,2022-07-20,lpp14,sorbitol,none,0,0.4017,0.996,2,1,0.4
128,2022-07-20,lpp14,acetate,none,0,0.25116,0.81,2,1,0.4
129,2022-07-20,malE-rbsB-fliC-KO,acetate,malE,10,0.32136,0.776,2,1,0.4
130,2022-07-20,malE-rbsB-fliC-KO,acetate,malE,30,0.29874,0.784,2,1,0.4
131,2022-07-20,malE-rbsB-fliC-KO,acetate,malE,50,0.25038,0.801,2,1,0.4
132,2021-07-16,wildtype,glucose,none,0,0.53586,0.852,2,1,0.4
133,2021-07-17,wildtype,glucose,none,0,0.6864,1.016,2,1,0.4
134,2021-07-08,wildtype,glucose,none,0,0.48048,0.876,2,1,0.4
135,2021-07-19,wildtype,glucose,none,0,0.35646,0.786,2,1,0.4
136,2021-07-19,wildtype,acetate,none,0,0.36582,0.922,2,1,0.4
137,2021-07-29,wildtype,glucose,none,0,0.351,0.681,2,1,0.52
138,2021-07-29,wildtype,acetate,none,0,0.34086,0.841,2,1,0.52
139,2021-07-29,wildtype,sorbitol,none,0,0.33306,0.882,2,1,0.4
140,2021-07-09,malE-rbsB-fliC-KO,acetate,none,0,0.4251,0.863,2,1,0.4
141,2021-07-09,malE-rbsB-fliC-KO,acetate,malE,10,0.41184,0.902,2,1,0.4
142,2021-07-09,malE-rbsB-fliC-KO,acetate,malE,50,0.44226,1.015,2,1,0.4
143,2021-07-09,malE-rbsB-fliC-KO,acetate,malE,100,0.4017,1.043,2,1,0.4
144,2021-07-09,malE-rbsB-fliC-KO,acetate,rbsB,10,0.33852,1.049,2,1,0.4
145,2021-07-09,malE-rbsB-fliC-KO,acetate,rbsB,50,0.34008,1.074,2,1,0.4
146,2021-07-09,malE-rbsB-fliC-KO,acetate,rbsB,100,0.35334,1.144,2,1,0.4
147,2021-07-09,malE-rbsB-fliC-KO,acetate,none,0,0.34788,0.851,2,1,0.4
148,2021-07-09,malE-rbsB-fliC-KO,glucose,none,0,0.32994,0.775,2,1,0.4
149,2021-07-09,malE-rbsB-fliC-KO,glucose,malE,50,0.34086,0.835,2,1,0.4
150,2021-07-09,malE-rbsB-fliC-KO,sorbitol,malE,50,0.2184,0.836,2,1,0.4
151,2021-07-09,malE-rbsB-fliC-KO,sorbitol,none,0,0.26286,0.803,2,1,0.4
152,2021-07-09,malE-rbsB-fliC-KO,acetate,malE,10,0.31278,0.854,2,1,0.4
153,2021-07-09,malE-rbsB-fliC-KO,acetate,malE,30,0.3198,0.919,2,1,0.4
154,2021-07-09,malE-rbsB-fliC-KO,acetate,malE,50,0.3198,0.905,2,1,0.4
155,2021-07-09,malE-rbsB-fliC-KO,acetate,malE,100,0.2964,0.964,2,1,0.4
156,2021-07-09,malE-rbsB-fliC-KO,acetate,none,0,0.3237,0.81,2,1,0.4
157,2021-07-09,malE-rbsB-fliC-KO,acetate,none,0,0.30186,0.788,2,1,0.4
158,2021-07-09,malE-rbsB-fliC-KO,acetate,none,0,0.2769,0.781,2,1,0.4
159,2021-07-09,malE-rbsB-fliC-KO,glucose,none,0,0.41262,0.784,2,1,0.4
160,2021-07-09,malE-rbsB-fliC-KO,glucose,none,0,0.3588,0.762,2,1,0.4
161,2021-07-09,malE-rbsB-fliC-KO,glucose,none,0,0.41106,0.768,2,1,0.4
162,2021-07-09,malE-rbsB-fliC-KO,glucose,none,0,0.3159,0.73,2,1,0.4
163,2021-07-09,malE-rbsB-fliC-KO,glucose,none,0,0.39,0.74,2,1,0.4
164,2021-07-09,malE-rbsB-fliC-KO,glucose,none,0,0.3237,0.81,2,1,0.4
165,2021-07-09,malE-rbsB-fliC-KO,glucose,none,0,0.30186,0.788,2,1,0.4
166,2021-07-09,malE-rbsB-fliC-KO,glucose,none,0,0.2769,0.781,2,1,0.4
