strain,carbon_source,chlor_conc,growth_rate_hr,volume,length,width,aspect_ratio,surface_area,surface-to-volume,phi_Rb
NCM3722,MOPS glucose + 6 a. a.,1,1.0532,1.1074,2.9378,0.74286,3.9547,6.8562,6.1912,0.14291
NCM3722,MOPS glucose + 6 a. a.,2,0.98643,1.0748,2.8601,0.74348,3.847,6.6804,6.2158,0.14716
NCM3722,MOPS glucose + 6 a. a.,3,0.88372,0.97523,2.6964,0.7307,3.6901,6.1897,6.3469,0.14885
NCM3722,MOPS glucose + 6 a. a.,4,0.7331,0.95885,2.7212,0.72011,3.7788,6.1562,6.4204,0.15877
NCM3722,MOPS glucose + 6 a. a.,6,0.58057,0.90494,2.6166,0.7154,3.6575,5.8808,6.4986,0.17861
NCM3722,MOPS glucose + 6 a. a.,8,0.43425,0.86984,2.6739,0.68972,3.8767,5.7938,6.6608,0.18857
NCM3722,MOPS glucose + 6 a. a.,0,1.1547,1.3001,3.0873,0.78679,3.9471,7.6018,5.8894,0.1424
NCM3722,MOPS glucose + 6 a. a.,1,1.0672,1.161,2.9182,0.76677,3.8289,7.0008,6.0741,0.14243
NCM3722,MOPS glucose + 6 a. a.,2,0.99987,1.0419,2.7974,0.74197,3.7925,6.4968,6.2835,0.15420
NCM3722,MOPS glucose + 6 a. a.,3,0.92364,0.97205,2.7186,0.72803,3.7581,6.1915,6.4202,0.16599
NCM3722,MOPS glucose + 6 a. a.,4,0.81461,0.99981,2.7941,0.72595,3.8696,6.3507,6.4001,0.17997
NCM3722,MOPS glucose + 6 a. a.,6,0.68519,0.97412,2.7128,0.72946,3.7404,6.1935,6.4045,0.20790
NCM3722,MOPS glucose + 6 a. a.,8,0.61002,0.91266,2.7082,0.70496,3.863,5.9752,6.5921,0.18959
NCM3722,MOPS glucose + 6 a. a.,10,0.4819,0.94692,2.7331,0.71507,3.8437,6.1166,6.5055,0.20686
NCM3722,MOPS glucose,0,1.0276,1.0287,2.8811,0.72241,3.9881,6.5386,6.3562,0.12710
NCM3722,MOPS glucose,1,0.92638,0.87577,2.6361,0.69882,3.7722,5.7874,6.6083,0.11998
NCM3722,MOPS glucose,2,0.99015,0.86399,2.4566,0.72486,3.3891,5.5943,6.475,0.12609
NCM3722,MOPS glucose,3,0.77351,0.82785,2.4104,0.71968,3.3493,5.4498,6.5831,0.15580
NCM3722,MOPS glucose,5,0.45261,0.74649,2.2983,0.69244,3.3192,4.9997,6.6976,0.23460
NCM3722,MOPS glucose,7,0.27229,0.76084,2.4643,0.67161,3.6692,5.1994,6.8338,0.29738
NCM3722,MOPS glucose,9,0.19119,0.76336,2.472,0.67329,3.6716,5.2288,6.8498,0.2920
NCM3722,MOPS glucose,0,1.058,0.89382,2.7862,0.6858,4.0627,6.0028,6.7159,0.11081
NCM3722,MOPS glucose,1,0.97615,0.85915,2.6785,0.68758,3.8955,5.7858,6.7343,0.11991
NCM3722,MOPS glucose,2,0.80351,0.79213,2.4981,0.68577,3.6427,5.3818,6.7941,0.13075
NCM3722,MOPS glucose,3,0.6899,0.73012,2.3746,0.67724,3.5062,5.0521,6.9196,0.12344
NCM3722,MOPS glucose,4,0.58911,0.69035,2.3426,0.66347,3.5309,4.8828,7.073,0.13695
NCM3722,MOPS glucose,0,1.1048,1.0786,2.8931,0.73797,3.9203,6.7074,6.2187,0.14719
NCM3722,MOPS glucose,1,0.93339,1.005,2.7445,0.73361,3.7411,6.3252,6.2937,0.20685
NCM3722,MOPS glucose,2,0.75701,0.92607,2.5841,0.72862,3.5466,5.915,6.3872,0.1821
NCM3722,MOPS glucose,3,0.67556,0.90458,2.5222,0.72982,3.4559,5.7829,6.3929,0.23024
NCM3722,MOPS glucose,4,0.59601,0.92134,2.5384,0.73376,3.4595,5.8515,6.3511,0.20848
NCM3722,MOPS glucose,6,0.44655,0.87196,2.5645,0.70552,3.6349,5.6842,6.5189,0.24935
NCM3722,MOPS glucose,8,0.35315,0.88538,2.5981,0.70622,3.679,5.7644,6.5106,0.26244
NCM3722,MOPS glucose,10,0.24271,1.003,2.7616,0.72917,3.7873,6.3262,6.3071,0.32396
NCM3722,MOPS glucose,0,1.0261,1.0445,2.8031,0.74277,3.7971,6.5126,6.2728,0.11836
NCM3722,MOPS glucose,1,0.87457,0.92645,2.6563,0.71949,3.7134,5.9806,6.5012,0.14218
NCM3722,MOPS glucose,2,0.74707,0.88557,2.5693,0.71653,3.6062,5.7633,6.5616,0.16811
NCM3722,MOPS glucose,3,0.66518,0.81756,2.4445,0.70806,3.4736,5.418,6.687,0.147
NCM3722,MOPS glucose,4,0.54311,0.7978,2.3872,0.70931,3.3853,5.3008,6.7065,0.16045
NCM3722,MOPS glucose,6,0.45503,0.78961,2.3914,0.70435,3.4141,5.2741,6.7415,0.22144
NCM3722,MOPS glucose,8,0.3437,0.84489,2.4349,0.72242,3.3875,5.5091,6.5799,0.26255
NCM3722,MOPS glucose,10,0.25179,0.88385,2.5252,0.72319,3.5093,5.7203,6.5332,0.25444
NCM3722,MOPS glycerol,0,0.70007,0.57327,2.4369,0.58535,4.1632,4.4814,7.8172,0.17678
NCM3722,MOPS glycerol,1,0.68014,0.57859,2.3126,0.60763,3.8059,4.4146,7.6299,0.22053
NCM3722,MOPS glycerol,2,0.57929,0.58073,2.2121,0.62558,3.5361,4.3475,7.4863,0.258
NCM3722,MOPS glycerol,3,0.42811,0.59554,2.1727,0.64155,3.3867,4.379,7.353,0.33981
NCM3722,MOPS glycerol,4,0.36704,0.63059,2.2417,0.64913,3.4533,4.5714,7.2494,0.40636
NCM3722,MOPS glycerol,0,0.75945,0.53591,2.3742,0.5196,4.5693,3.8756,7.2317,0.08784
NCM3722,MOPS glycerol,1,0.66459,0.53286,2.1127,0.51366,4.113,3.4092,6.398,0.10550
NCM3722,MOPS glycerol,2,0.53543,0.53371,2.0184,0.50935,3.9627,3.2298,6.0515,0.12085
NCM3722,MOPS glycerol,3,0.50237,0.55063,2.0283,0.51124,3.9675,3.2577,5.9162,0.13855
NCM3722,MOPS glycerol,4,0.40893,0.58609,2.1514,0.50718,4.2418,3.4279,5.8488,0.14870
NCM3722,MOPS glycerol,5,0.35485,0.60239,2.2321,0.5095,4.381,3.5728,5.931,0.17464
NCM3722,MOPS glycerol,6,0.31577,0.65671,2.4028,0.52158,4.6068,3.9372,5.9953,0.15696
NCM3722,MOPS glycerol,0,0.64728,0.60875,2.4261,0.60204,4.0298,4.5886,7.5377,0.09566
NCM3722,MOPS glycerol,1,0.56868,0.6005,2.2353,0.62639,3.5685,4.3988,7.3252,0.11591
NCM3722,MOPS glycerol,2,0.47045,0.62711,2.2302,0.63987,3.4854,4.4831,7.1489,0.17469
NCM3722,MOPS glycerol,3,0.42962,0.63657,2.2173,0.64761,3.4239,4.5113,7.0869,0.14272
NCM3722,MOPS glycerol,4,0.3524,0.74551,2.3514,0.68303,3.4426,5.0457,6.7681,0.17048
NCM3722,MOPS glycerol,5,0.30699,0.79937,2.4933,0.6815,3.6585,5.3381,6.6778,0.17187
NCM3722,MOPS glycerol,5.5,0.29217,0.77014,2.5384,0.66209,3.8339,5.28,6.856,0.18745
NCM3722,MOPS glycerol,6,0.23997,0.72394,2.4407,0.65592,3.7211,5.0294,6.9472,0.23531
NCM3722,MOPS glycerol,0,0.64552,0.61189,2.5282,0.59351,4.2886,4.6922,7.7214,0.0856
NCM3722,MOPS glycerol,1,0.589,0.59408,2.2437,0.62833,3.5909,4.413,7.4914,0.11113
NCM3722,MOPS glycerol,2,0.46026,0.59083,2.1433,0.64486,3.3415,4.3275,7.3939,0.11940
NCM3722,MOPS glycerol,3,0.42746,0.64161,2.2014,0.66268,3.3381,4.5703,7.1891,0.14955
NCM3722,MOPS glycerol,4,0.33567,0.67961,2.2971,0.66584,3.4687,4.7892,7.1123,0.15811
NCM3722,MOPS glycerol,5,0.30831,0.71886,2.369,0.67322,3.5393,4.9933,7.0138,0.15400
NCM3722,MOPS glycerol,5.5,0.2668,0.71954,2.3523,0.67647,3.4954,4.9834,6.9887,0.21015
NCM3722,MOPS glycerol,6,0.24472,0.74334,2.3321,0.69251,3.3843,5.0578,6.8689,0.1735
NCM3722,MOPS sorbitol,0,0.6694,0.56932,2.3729,0.59255,4.0046,4.4173,7.7589,0.08796
NCM3722,MOPS sorbitol,0.15,0.60849,0.53904,2.2856,0.58833,3.8849,4.2244,7.8369,0.08796
NCM3722,MOPS sorbitol,0.3,0.45088,0.50594,2.2386,0.57481,3.8945,4.0425,7.9902,0.09429
NCM3722,MOPS sorbitol,0.5,0.44689,0.51376,2.1786,0.59062,3.6887,4.0424,7.8684,0.08955
NCM3722,MOPS sorbitol,0.75,0.40681,0.4775,2.0694,0.58619,3.5303,3.811,7.9811,0.08712
NCM3722,MOPS sorbitol,1,0.32987,0.49862,2.1421,0.58574,3.6571,3.9419,7.9055,0.09172
NCM3722,MOPS sorbitol,2.5,0.25375,0.50209,1.9699,0.62231,3.1655,3.8513,7.6705,0.1124
NCM3722,MOPS mannose,0,0.35841,0.45099,2.0452,0.57288,3.5897,3.67,8.2154,0.06854
NCM3722,MOPS mannose,0.2,0.32282,0.43232,2.0357,0.56201,3.6462,3.5807,8.369,0.07167
NCM3722,MOPS mannose,0.4,0.28177,0.40341,1.9347,0.55856,3.481,3.385,8.4656,0.07897
NCM3722,MOPS mannose,0.6,0.22507,0.38043,1.8331,0.55947,3.2939,3.2142,8.5469,0.08234
NCM3722,MOPS mannose,0.8,0.21122,0.39023,1.7873,0.57527,3.1212,3.2282,8.4034,0.07705
