clock_time,od_600nm,strain,carbon_source,date,run_no,elapsed_time_hr
2023-01-11 17:00:00,0.268,WT,acetate,2020-08-03,1,4.716666666666667
2023-01-11 17:16:00,0.293,WT,acetate,2020-08-03,1,4.983333333333333
2023-01-11 17:26:00,0.31,WT,acetate,2020-08-03,1,5.15
2023-01-11 14:13:00,0.049,WT,acetate,2020-08-04,1,0.0
2023-01-11 14:59:00,0.064,WT,acetate,2020-08-04,1,0.7666666666666667
2023-01-11 15:24:00,0.074,WT,acetate,2020-08-04,1,1.1833333333333333
2023-01-11 16:24:00,0.105,WT,acetate,2020-08-04,1,2.1833333333333336
2023-01-11 16:52:00,0.124,WT,acetate,2020-08-04,1,2.65
2023-01-11 17:27:00,0.148,WT,acetate,2020-08-04,1,3.2333333333333334
2023-01-11 17:49:00,0.163,WT,acetate,2020-08-04,1,3.6
2023-01-11 18:29:00,0.195,WT,acetate,2020-08-04,1,4.2666666666666675
2023-01-11 12:28:00,0.047,WT,acetate,2020-09-11,1,0.0
2023-01-11 13:21:00,0.063,WT,acetate,2020-09-11,1,0.8833333333333333
2023-01-11 14:11:00,0.083,WT,acetate,2020-09-11,1,1.7166666666666666
2023-01-11 15:01:00,0.108,WT,acetate,2020-09-11,1,2.55
2023-01-11 15:38:00,0.132,WT,acetate,2020-09-11,1,3.1666666666666665
2023-01-11 16:09:00,0.154,WT,acetate,2020-09-11,1,3.683333333333333
2023-01-11 16:39:00,0.181,WT,acetate,2020-09-11,1,4.183333333333334
2023-01-11 17:08:00,0.213,WT,acetate,2020-09-11,1,4.666666666666667
2023-01-11 17:27:00,0.235,WT,acetate,2020-09-11,1,4.983333333333333
2023-01-11 17:46:00,0.26,WT,acetate,2020-09-11,1,5.3
2023-01-11 18:00:00,0.281,WT,acetate,2020-09-11,1,5.533333333333333
2023-01-11 18:26:00,0.324,WT,acetate,2020-09-11,1,5.966666666666667
2023-01-11 18:37:00,0.345,WT,acetate,2020-09-11,1,6.15
2023-01-11 15:12:00,0.044,WT,acetate,2020-09-13,1,0.0
2023-01-11 15:29:00,0.051,WT,acetate,2020-09-13,1,0.2833333333333334
2023-01-11 15:54:00,0.06,WT,acetate,2020-09-13,1,0.7
2023-01-11 17:10:00,0.091,WT,acetate,2020-09-13,1,1.9666666666666666
2023-01-11 17:53:00,0.112,WT,acetate,2020-09-13,1,2.683333333333333
2023-01-11 17:59:00,0.118,WT,acetate,2020-09-13,1,2.783333333333333
2023-01-11 18:18:00,0.129,WT,acetate,2020-09-13,1,3.1
2023-01-11 18:33:00,0.145,WT,acetate,2020-09-13,1,3.35
2023-01-11 18:45:00,0.152,WT,acetate,2020-09-13,1,3.55
2023-01-11 18:51:00,0.158,WT,acetate,2020-09-13,1,3.65
2023-01-11 19:01:00,0.169,WT,acetate,2020-09-13,1,3.816666666666667
2023-01-11 18:48:00,0.365,WT,acetate,2020-09-18,1,4.3500000000000005
2023-01-11 14:27:00,0.051,WT,acetate,2020-09-18,1,0.0
2023-01-11 14:59:00,0.063,WT,acetate,2020-09-18,1,0.5333333333333334
2023-01-11 15:58:00,0.088,WT,acetate,2020-09-18,1,1.5166666666666666
2023-01-11 16:42:00,0.116,WT,acetate,2020-09-18,1,2.2500000000000004
2023-01-11 17:15:00,0.139,WT,acetate,2020-09-18,1,2.8
2023-01-11 17:54:00,0.177,WT,acetate,2020-09-18,1,3.45
2023-01-11 18:23:00,0.209,WT,acetate,2020-09-18,1,3.933333333333333
2023-01-11 18:51:00,0.241,WT,acetate,2020-09-18,1,4.4
2023-01-11 19:02:00,0.256,WT,acetate,2020-09-18,1,4.583333333333333
2023-01-11 13:14:00,0.041,WT,acetate,2020-09-29,1,0.0
2023-01-11 13:46:00,0.05,WT,acetate,2020-09-29,1,0.5333333333333334
2023-01-11 14:23:00,0.063,WT,acetate,2020-09-29,1,1.15
2023-01-11 14:44:00,0.071,WT,acetate,2020-09-29,1,1.5
2023-01-11 15:39:00,0.098,WT,acetate,2020-09-29,1,2.4166666666666665
2023-01-11 16:22:00,0.127,WT,acetate,2020-09-29,1,3.1333333333333333
2023-01-11 17:11:00,0.167,WT,acetate,2020-09-29,1,3.95
2023-01-11 17:39:00,0.198,WT,acetate,2020-09-29,1,4.416666666666667
2023-01-11 18:12:00,0.239,WT,acetate,2020-09-29,1,4.966666666666667
2023-01-11 12:45:00,0.068,WT,acetate,2020-09-30,1,0.0
2023-01-11 13:14:00,0.081,WT,acetate,2020-09-30,1,0.48333333333333334
2023-01-11 13:46:00,0.098,WT,acetate,2020-09-30,1,1.0166666666666668
2023-01-11 14:23:00,0.124,WT,acetate,2020-09-30,1,1.6333333333333333
2023-01-11 14:44:00,0.14,WT,acetate,2020-09-30,1,1.9833333333333334
2023-01-11 15:39:00,0.197,WT,acetate,2020-09-30,1,2.9
2023-01-11 16:22:00,0.252,WT,acetate,2020-09-30,1,3.6166666666666667
2023-01-11 16:59:00,0.314,WT,acetate,2020-09-30,1,4.233333333333334
2023-01-11 17:11:00,0.358,WT,acetate,2020-09-30,1,4.433333333333334
2023-01-11 17:39:00,0.399,WT,acetate,2020-09-30,1,4.9
2023-01-11 12:30:00,0.078,WT,acetate,2020-10-06,1,0.0
2023-01-11 12:55:00,0.088,WT,acetate,2020-10-06,1,0.4166666666666667
2023-01-11 13:27:00,0.103,WT,acetate,2020-10-06,1,0.95
2023-01-11 13:49:00,0.118,WT,acetate,2020-10-06,1,1.3166666666666667
2023-01-11 14:12:00,0.134,WT,acetate,2020-10-06,1,1.7
2023-01-11 14:33:00,0.15,WT,acetate,2020-10-06,1,2.0500000000000003
2023-01-11 14:56:00,0.17,WT,acetate,2020-10-06,1,2.433333333333333
2023-01-11 15:20:00,0.196,WT,acetate,2020-10-06,1,2.8333333333333335
2023-01-11 15:38:00,0.22,WT,acetate,2020-10-06,1,3.1333333333333333
2023-01-11 16:17:00,0.272,WT,acetate,2020-10-06,1,3.783333333333333
2023-01-11 16:35:00,0.298,WT,acetate,2020-10-06,1,4.083333333333334
2023-01-11 17:06:00,0.353,WT,acetate,2020-10-06,1,4.6
2023-01-11 17:26:00,0.397,WT,acetate,2020-10-06,1,4.933333333333334
2023-01-11 13:49:00,0.066,WT,acetate,2020-10-07,1,0.0
2023-01-11 14:12:00,0.074,WT,acetate,2020-10-07,1,0.38333333333333336
2023-01-11 14:33:00,0.082,WT,acetate,2020-10-07,1,0.7333333333333333
2023-01-11 14:56:00,0.093,WT,acetate,2020-10-07,1,1.1166666666666667
2023-01-11 15:20:00,0.107,WT,acetate,2020-10-07,1,1.5166666666666666
2023-01-11 15:38:00,0.117,WT,acetate,2020-10-07,1,1.8166666666666667
2023-01-11 16:17:00,0.149,WT,acetate,2020-10-07,1,2.466666666666667
2023-01-11 16:35:00,0.163,WT,acetate,2020-10-07,1,2.7666666666666666
2023-01-11 17:06:00,0.193,WT,acetate,2020-10-07,1,3.283333333333333
2023-01-11 17:26:00,0.216,WT,acetate,2020-10-07,1,3.6166666666666667
2023-01-11 12:50:00,0.117,WT,acetate,2021-07-21,1,0.0
2023-01-11 13:08:00,0.141,WT,acetate,2021-07-21,1,0.3
2023-01-11 13:33:00,0.166,WT,acetate,2021-07-21,1,0.7166666666666667
2023-01-11 13:54:00,0.195,WT,acetate,2021-07-21,1,1.0666666666666669
2023-01-11 14:38:00,0.27,WT,acetate,2021-07-21,1,1.8
2023-01-11 15:02:00,0.315,WT,acetate,2021-07-21,1,2.2
2023-01-11 10:30:00,0.113,WT,acetate,2021-08-04,1,0.0
2023-01-11 11:11:00,0.143,WT,acetate,2021-08-04,1,0.6833333333333333
2023-01-11 11:41:00,0.179,WT,acetate,2021-08-04,1,1.1833333333333333
2023-01-11 12:17:00,0.227,WT,acetate,2021-08-04,1,1.7833333333333334
