date,run_no,carbon_source,strain,overexpression,inducer,inducer_conc,temperature,width_median,length,volume,surface_area,surface_to_volume,aspect_ratio,periplasm_volume,periplasm_volume_fraction,delta,perturbation_idx,wt_carbon_idx,carbon_idx
2022-08-17,1,sorbitol,lpp14,none,none,0,37.0,0.700446389448379,1.908925888982852,0.6526631114527562,4.204812362383482,6.625115143206061,2.7555666213880974,0.116052821201784,0.1828531779524873,0.0276,5,16,2
2020-09-23,1,acetate,malE-rbsB-fliC-KO,malE,ctc,10,37.0,0.7882345962937329,2.111990802768452,0.8959821120063759,5.204919248906559,5.862363337112905,2.70721977250074,0.1280410135231013,0.1442141380929774,0.0246,6,18,1
2021-01-21,1,acetate,malE-rbsB-fliC-KO,malE,ctc,10,37.0,0.6787594038409157,2.25646359894076,0.7339923854916688,4.801229409807285,6.609516719202776,3.3488764184971886,0.1181102434812592,0.1625941112923883,0.0246,6,18,1
2021-02-11,1,acetate,malE-rbsB-fliC-KO,malE,ctc,10,37.0,0.7041730142588926,2.143026824767653,0.7391202823984014,4.719623580592412,6.45474447836938,3.0764508252121554,0.1161027400825733,0.1587867141678867,0.0246,6,18,1
2022-07-20,1,acetate,malE-rbsB-fliC-KO,malE,ctc,10,37.0,0.7836368882226695,2.1027974095647424,0.887728620425019,5.166247308861935,5.898511507133952,2.7057540126892152,0.1270896837980036,0.1451033830754952,0.0246,6,18,1
2020-09-23,1,acetate,malE-rbsB-fliC-KO,malE,ctc,100,37.0,0.7830056081568194,2.1208429031267584,0.8954364296189912,5.199028368805375,5.905362962621228,2.745461235282625,0.1278960978726122,0.1452719288804822,0.0246,7,18,1
2020-12-04,1,acetate,malE-rbsB-fliC-KO,malE,ctc,100,37.0,0.7104877434246317,2.121918876302358,0.7467358874681413,4.720368799150277,6.417545059254814,3.02087919081068,0.1161210724590968,0.1578716084576684,0.0246,7,18,1
2021-01-21,1,acetate,malE-rbsB-fliC-KO,malE,ctc,100,37.0,0.664727470675735,2.220300420462431,0.6928492499029872,4.625408816626383,6.744914164459244,3.367275296010487,0.113785056889009,0.1659248884456974,0.0246,7,18,1
2021-02-11,1,acetate,malE-rbsB-fliC-KO,malE,ctc,100,37.0,0.6867632103362106,2.193248839931139,0.7251014691111898,4.716725406430448,6.566426567377855,3.219831705967622,0.116031444998189,0.1615340935574952,0.0246,7,18,1
2020-10-06,1,acetate,malE-rbsB-fliC-KO,none,none,0,37.0,0.81090313872081,2.187092292122361,0.9827240024003492,5.545946887140803,5.687736234948838,2.7228227517442014,0.1364302934236637,0.1399183113797414,0.0246,8,18,1
2020-11-20,1,acetate,malE-rbsB-fliC-KO,none,none,0,37.0,0.7243645269532049,2.0628556122408845,0.7497092590627774,4.671776497789035,6.345872049109617,2.8935065748635704,0.1149257018456102,0.1561084524080965,0.0246,8,18,1
2021-02-03,1,acetate,malE-rbsB-fliC-KO,none,none,0,37.0,0.7591426987023387,2.358824446688396,0.9627724834287906,5.61801267153973,5.995427075024919,3.152625177516349,0.1382031117198773,0.147487506045613,0.0246,8,18,1
2021-02-11,1,acetate,malE-rbsB-fliC-KO,none,none,0,37.0,0.7336526994902633,2.2343057957627006,0.8409680271936548,5.1302156595268,6.238860391646014,3.096059347684516,0.1262033052243592,0.1534759656344919,0.0246,8,18,1
2020-10-06,1,acetate,malE-rbsB-fliC-KO,rbsB,ctc,10,37.0,0.8409806961510354,1.9974499242609016,0.9453204677555894,5.248869215718753,5.596672555750032,2.40112065189164,0.1291221827066813,0.1376781448714508,0.0245999999999999,9,18,1
2020-11-20,1,acetate,malE-rbsB-fliC-KO,rbsB,ctc,10,37.0,0.7788538401370353,2.2315607067493977,0.947888810659338,5.453298768935954,5.908378998366514,2.905114710384729,0.1341511497158244,0.1453461233598162,0.0246,9,18,1
2021-01-21,1,acetate,malE-rbsB-fliC-KO,rbsB,ctc,10,37.0,0.6884705004884227,2.1136105896762225,0.6990245728470716,4.5561880825205785,6.586259815074558,3.097452256658912,0.1120822268300062,0.1620219914508341,0.0246,9,18,1
