strain,carbon_source,overexpression,inducer,inducer_conc,temperature,run_idx,growth_rate_hr,od_init,perturbation_idx,wt_carbon_idx,carbon_idx
malE-rbsB-fliC-KO,acetate,none,none,0,37.0,16,0.4802360756556864,0.0988444070578477,10,20,1
malE-rbsB-fliC-KO,acetate,none,none,0,37.0,21,0.4750721460411529,0.078096531977424,10,20,1
malE-rbsB-fliC-KO,acetate,none,none,0,37.0,30,0.4451736519450507,0.0878979729813787,10,20,1
malE-rbsB-fliC-KO,acetate,none,none,0,37.0,39,0.4894792952896196,0.0363069537463838,10,20,1
malE-rbsB-fliC-KO,acetate,none,none,0,37.0,60,0.5137061622524214,0.0804174746970275,10,20,1
malE-rbsB-fliC-KO,acetate,none,none,0,37.0,67,0.503129967109302,0.0592995845835166,10,20,1
malE-rbsB-fliC-KO,acetate,none,none,0,37.0,90,0.4860088954259866,0.0611538195769307,10,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,10,37.0,23,0.4835159857195289,0.1490360666320808,11,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,10,37.0,35,0.4562201797926417,0.0703890448149609,11,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,10,37.0,51,0.3282516029349449,0.111337738620501,11,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,10,37.0,64,0.4562201797926417,0.0703890448149609,11,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,50,37.0,20,0.425248440560437,0.1022763475851012,12,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,50,37.0,24,0.4259392977068395,0.10258093524969,12,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,50,37.0,36,0.4382693846607835,0.0771995333570523,12,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,50,37.0,53,0.2985527811243236,0.0873355161713813,12,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,50,37.0,65,0.4382693846607835,0.0771995333570523,12,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,100,37.0,25,0.3498843621978273,0.0501787947087333,13,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,100,37.0,29,0.3851575510605192,0.0917028992846911,13,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,100,37.0,37,0.4434558436970033,0.0786188028653377,13,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,100,37.0,49,0.2584130208899444,0.0509443224526034,13,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,100,37.0,50,0.2347785019564259,0.054425785144236,13,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,100,37.0,54,0.2557504524183013,0.0924163439116262,13,20,1
