length,width_median,width_var,volume,surface_area,surface_to_volume,periplasm_volume,periplasm_fractional_volume,cell_id,date,carbon_source,run_no,temperature_C,overexpression,inducer,inducer_conc,image,strain
2.4648268512244913,0.8172759732205426,0.000623990262577532,1.1501313463291933,6.328561728967133,5.502468695567365,0.1518350992451264,0.13201544304459623,0,2020-10-06,glucose,1,37.0,none,noInd,0,201006140227.tif,wildtype
3.216448443283413,0.793974541992549,0.0007080578250146496,1.4614653799081738,8.02293076792486,5.489648183406817,0.19276427192736456,0.1318979392720724,1,2020-10-06,glucose,1,37.0,none,noInd,0,201006140227.tif,wildtype
2.2760270265097216,0.7772677399950602,0.0008003920717553856,0.9570258492850467,5.557736218225494,5.807300003837349,0.13301372504777742,0.13898655417421202,2,2020-10-06,glucose,1,37.0,none,noInd,0,201006140227.tif,wildtype
2.9099858587782723,0.7036178164260424,0.0007858683471354604,1.0403029305984453,6.432467179489368,6.1832635382359475,0.1537818351098046,0.14782409102831226,3,2020-10-06,glucose,1,37.0,none,noInd,0,201006140227.tif,wildtype
2.451952516809612,0.7944311655738425,0.0009027398165237447,1.084125185613162,6.119531878868706,5.644672737131928,0.14667948736409875,0.13529755540282873,4,2020-10-06,glucose,1,37.0,none,noInd,0,201006140227.tif,wildtype
2.0897805500001376,0.6738619215879613,0.00042186814878996233,0.6651931762911745,4.424064718829177,6.65079690608948,0.10524066851399805,0.1582106856549159,5,2020-10-06,glucose,1,37.0,none,noInd,0,201006140227.tif,wildtype
3.0936944020596684,0.7021709052309881,0.0006820044646469613,1.1073540936666229,6.82448862913419,6.1628784037247195,0.16322450147317913,0.14740045881143332,6,2020-10-06,glucose,1,37.0,none,noInd,0,201006140227.tif,wildtype
2.9703592335059605,0.7717732483405515,0.00721757202778153,1.2692154841154042,7.201924583195633,5.674311945709602,0.1727659044807608,0.1361202306802711,0,2020-10-06,glucose,1,37.0,none,noInd,0,201006140419.tif,wildtype
1.9870470996780702,0.8264169524870641,0.0013252889336691407,0.9180877554553324,5.1589016861890755,5.619181451374962,0.12351376825328841,0.1345337278700889,1,2020-10-06,glucose,1,37.0,none,noInd,0,201006140419.tif,wildtype
2.6883008784281,0.7862512603780423,0.0014488122166779565,1.1779917649740654,6.64032141533632,5.63698458068806,0.15925121805924003,0.1351887362835224,2,2020-10-06,glucose,1,37.0,none,noInd,0,201006140419.tif,wildtype
2.5994182455958037,0.7625452323130748,0.004603450812007317,1.0710450699176761,6.227183245016144,5.8141187704591974,0.1491438311199561,0.1392507517273944,3,2020-10-06,glucose,1,37.0,none,noInd,0,201006140419.tif,wildtype
2.9996853507677907,0.8186978416416584,0.0010839718504714485,1.4354505598177292,7.715236091849509,5.37478357515091,0.18544897427702245,0.12919217106339798,4,2020-10-06,glucose,1,37.0,none,noInd,0,201006140419.tif,wildtype
