date,strain,overexpression,inducer_conc_ng_mL,carbon_source,od_600nm,od_595nm,dilution_factor,culture_volume_mL,extraction_volume_mL,temperature_C,prot_ug_per_biomass,tot_prot_ug_per_biomass,mass_frac
2020-11-20,wildtype,none,0,glucose,0.41106,0.86,2,1,0.4,37,11.50570215666235,346.5766666198025,0.03319814420537492
2020-11-20,wildtype,none,0,glucose,0.1677,0.826,2,1,0.4,37,24.551317786820217,346.5766666198025,0.07083950003406668
2020-12-01,wildtype,none,0,glucose,0.4602,0.895,2,1,0.4,37,11.646718902138131,346.5766666198025,0.033605028912447474
2021-01-21,wildtype,none,0,glucose,0.47346,0.845,2,1,0.4,37,9.418770983484604,346.5766666198025,0.02717658714692722
2020-01-22,wildtype,none,0,glucose,0.4212,0.807,2,1,0.4,37,8.962727150662108,346.5766666198025,0.025860734474933058
2021-01-23,wildtype,none,0,glucose,0.4095,0.861,2,1,0.4,37,11.593509409270068,346.5766666198025,0.0334515001322586
2021-08-10,wildtype,none,0,glucose,0.34866,0.727,2,1,0.4,37,6.6954818722581475,346.5766666198025,0.019318905503823623
2022-03-11,wildtype,none,0,glucose,0.32682,0.737,2,1,0.4,37,7.693924653834511,346.5766666198025,0.022199776831124094
2021-07-16,wildtype,none,0,glucose,0.53586,0.852,2,1,0.4,37,8.557213697402101,346.5766666198025,0.024690680364784733
2021-07-17,wildtype,none,0,glucose,0.6864,1.016,2,1,0.4,37,10.98311358210732,346.5766666198025,0.03169028569991957
2021-07-18,wildtype,none,0,glucose,0.48048,0.876,2,1,0.4,37,10.443025145215401,346.5766666198025,0.030131933713447266
2021-07-19,wildtype,none,0,glucose,0.35646,0.786,2,1,0.4,37,9.52962186419535,346.5766666198025,0.027496432339599555
2021-07-29,wildtype,none,0,glucose,0.351,0.681,2,1,0.52,37,5.57803955174833,346.5766666198025,0.016094677134936744
2020-09-18,wildtype,none,0,glucoseCAA,0.3666,0.756,2,1,0.4,37,7.792372537798872,320.7024991239008,0.024297822932737273
2020-10-06,wildtype,none,0,glucoseCAA,0.49608,0.83,4,1,0.4,37,16.889568985500794,320.7024991239008,0.05266428865269194
2020-11-20,wildtype,none,0,glucoseCAA,0.6903,1.003,2,1,0.4,37,10.581925095231627,320.7024991239008,0.03299607930758091
2021-01-24,wildtype,none,0,glucoseCAA,0.38376,0.744,2,1,0.4,37,6.880825717676318,320.7024991239008,0.02145547894535729
2022-03-03,wildtype,none,0,glucoseCAA,0.12714,0.841,2,3,0.4,37,11.502749230577196,320.7024991239008,0.03586735139888387
2022-03-04,wildtype,none,0,glucoseCAA,0.0624,0.614,2,1,0.4,37,4.80004779190328,320.7024991239008,0.014967291508535518
2022-03-05,wildtype,none,0,glucoseCAA,0.39168,0.722,2,1,0.4,37,5.730202810174609,320.7024991239008,0.017867658736144716
2022-03-11,wildtype,none,0,glucoseCAA,0.46098,0.8,2,1,0.4,37,7.9158389817554164,320.7024991239008,0.02468281040334892
2021-01-24,wildtype,rbsB,30,glucoseCAA,0.33696,0.78,2,1,0.4,37,9.760446231719708,,
2021-01-24,wildtype,rbsB,100,glucoseCAA,0.34242,0.834,2,1,0.4,37,12.444721072009479,,
2020-09-18,wildtype,none,0,glycerol,0.41496,0.875,2,1,0.4,37,12.04852647771985,365.41401354351456,0.03297226168444434
2020-10-06,wildtype,none,0,glycerol,0.41574,0.9,4,1,0.4,37,26.21764040821813,365.41401354351456,0.07174776947927876
2020-11-20,wildtype,none,0,glycerol,0.40014,0.907,2,1,0.4,37,13.934918112924404,365.41401354351456,0.038134602386465384
2022-03-11,wildtype,none,0,glycerol,0.3861,0.844,2,1,0.4,37,11.503245623574603,365.41401354351456,0.03148003414544682
2020-12-01,wildtype,none,0,sorbitol,0.3042,0.86,2,1,0.4,37,15.54744881169502,382.1643801010084,0.040682621461439535
2022-03-04,wildtype,none,0,sorbitol,0.2106,0.76,2,1,0.4,37,13.906535948105104,382.1643801010084,0.03638888570522852
2022-03-05,wildtype,none,0,sorbitol,0.096,0.664,2,1,0.4,37,12.499288657688657,382.1643801010084,0.03270657682535724
2022-03-06,wildtype,none,0,sorbitol,0.128,0.81,2,2,0.4,37,14.957520310915159,382.1643801010084,0.039138970269709056
2022-03-07,wildtype,none,0,sorbitol,0.126,0.928,2,3,0.4,37,15.751560317072427,382.1643801010084,0.041216714945828264
2022-03-08,wildtype,none,0,sorbitol,0.10296,1.07,2,5,0.4,37,16.533120804187416,382.1643801010084,0.043261804775781586
2022-03-11,wildtype,none,0,sorbitol,0.32448,0.862,2,1,0.4,37,14.686730392241614,382.1643801010084,0.03843040104459714
2021-07-29,wildtype,none,0,sorbitol,0.33306,0.882,2,1,0.4,37,15.38976091167927,382.1643801010084,0.04027000346712496
