date,clock_time,od_600nm,replicate,carbon_source
2024-05-21,14:55,0.077,2,glucose
2024-05-21,15:01,0.162,1,glycerol
2024-05-21,15:02,0.417,2,glycerol
2024-05-21,15:02,0.144,1,sorbitol
2024-05-21,15:02,0.038,2,sorbitol
2024-05-21,15:03,0.371,1,glucose+acetate
2024-05-21,15:03,0.332,1,glucose
2024-05-21,15:14,0.424,1,glucose+acetate
2024-05-21,15:14,0.386,1,glucose
2024-05-21,15:35,0.214,1,glycerol
2024-05-21,15:35,0.205,1,sorbitol
2024-05-21,15:35,0.052,2,sorbitol
2024-05-21,15:36,0.034,2,glucose+acetate
2024-05-21,15:36,0.115,2,glucose
2024-05-21,15:50,0.257,1,glycerol
2024-05-21,15:50,0.235,1,sorbitol
2024-05-21,15:51,0.062,2,sorbitol
2024-05-21,15:51,0.038,2,glucose+acetate
2024-05-21,15:52,0.136,2,glucose
2024-05-21,16:11,0.320,1,glycerol
2024-05-21,16:12,0.287,1,sorbitol
2024-05-21,16:12,0.076,2,sorbitol
2024-05-21,16:13,0.045,2,glucose+acetate
2024-05-21,16:13,0.169,2,glucose
2024-05-21,16:34,0.401,1,glycerol
2024-05-21,16:34,0.360,1,sorbitol
2024-05-21,16:35,0.054,2,glucose
2024-05-21,16:52,0.432,1,sorbitol
2024-05-21,16:52,0.254,2,glucose
2024-05-21,16:56,0.120,2,sorbitol
2024-05-21,16:56,0.067,2,glucose+acetate
2024-05-21,16:56,0.253,2,glucose
2024-05-21,17:20,0.149,2,sorbitol
2024-05-21,17:21,0.083,2,glucose+acetate
2024-05-21,17:21,0.344,2,glucose
2024-05-21,17:30,0.163,2,sorbitol
2024-05-21,17:30,0.090,2,glucose+acetate
2024-05-21,17:31,0.390,2,glucose
2024-05-21,17:41,0.444,2,glucose
2024-05-21,17:52,0.198,2,sorbitol
2024-05-21,18:10,0.228,2,sorbitol
2024-05-21,18:50,0.327,2,sorbitol
2024-05-21,19:04,0.373,2,sorbitol
2024-05-21,19:12,0.407,2,Sorbitol
